,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3654,PRESERVED_SPECIMEN,Arachnothryx aspera,MA-01-00758197,GBIF,990,Manuel Vargas,,10.3,-84.8167,Puntarenas: Puntarenas. No protegida. Cuencas del Lagarto y Guacimal. Bajo del Tigre trail. Dry  narrow rocky spine of ridge with frull exposure,1996.0,1,1,1,,WGS84,2019,Penneys
7327,PRESERVED_SPECIMEN,Arachnothryx aspera,983783,GBIF,Morales Quirós 3465,Manuel Vargas,,9.65,-84.18,"Fila Bustamante. Bosque secundaRío entre Altos El Aguacate y La Palma, camino a Bajos de Bijagual.",1995.0,1,1,1,,WGS84,2019,J. F. Morales|R. J. Abarca
7535,PRESERVED_SPECIMEN,Arachnothryx aspera,906877,GBIF,Lépiz Villalobos 174,Manuel Vargas,,9.91,-84.29,Valle del Tárcoles. Alto Tigre. Al Este de Piedras Negras.,1994.0,1,1,1,,WGS84,2019,Eduardo Lépiz|Quírico Jiménez
7721,PRESERVED_SPECIMEN,Arachnothryx aspera,898673,GBIF,Bello Carranza 4387,Manuel Vargas,,10.29,-84.82,"Cordillera de Tilarán. Monteverde, Planta Eléctrica Lindora. Quebrada Sucia, sector La Paja.",1992.0,1,1,1,,WGS84,2019,Erick Bello C.
7749,PRESERVED_SPECIMEN,Arachnothryx aspera,897489,GBIF,Fuentes Alvarado 245,Manuel Vargas,,10.27,-84.82,"Cordillera de Tilarán. Sendero a La Catarata, por el río. Sendero Miguel Leitón.",1993.0,1,1,1,,WGS84,2019,Zobeida Fuentes|Nelson Zamora|Eduardo Lépiz
7759,PRESERVED_SPECIMEN,Arachnothryx aspera,897080,GBIF,Fuentes Alvarado 109,Manuel Vargas,,10.26,-84.79,Cordillera de Tilarán. Invu Los Altos. San Luis. Monteverde.,1993.0,1,1,1,,WGS84,2019,Zobeida Fuentes
7866,PRESERVED_SPECIMEN,Arachnothryx aspera,892524,GBIF,Haber 10954,Manuel Vargas,,10.28,-84.8,"Cordillera de Tilarán. Monteverde, Bajo Tigre Trail, Pacific slope, premontane moist forest.",1991.0,1,1,1,,WGS84,2019,William A. Haber|George E. Schatz|Heidi H. Schmidt
7893,PRESERVED_SPECIMEN,Arachnothryx aspera,891756,GBIF,Hammel 18687,Manuel Vargas,,9.92,-84.28,"Valle Central, entre Hacienda El Rodeo y Piedras Negras, bosque secundario a lo largo del camino",1992.0,1,1,1,,WGS84,2019,Barry E. Hammel|Indira Hammel|Patricia Rivera
7911,PRESERVED_SPECIMEN,Arachnothryx aspera,891094,GBIF,Haber 10312,Manuel Vargas,,10.25,-84.83,Cordillera de Tilarán. 10 km SW Santa Elena on road from Monteverde to Inter American Highway. Dry ridges and cut banks.,1990.0,1,1,1,,WGS84,2019,William A. Haber|Willow Zuchowski
7950,PRESERVED_SPECIMEN,Arachnothryx aspera,888206,GBIF,Morales Quirós 2362,Manuel Vargas,,9.82,-84.18,"Cerros Escazú-La Carpintera. Agua Blanca, Alto El Guabal; bosque secundario en el cruce por quebrada Mina",1994.0,1,1,1,,WGS84,2019,J. F. Morales|H. Barrantes
9177,PRESERVED_SPECIMEN,Arachnothryx aspera,520581,GBIF,Haber 6513,Manuel Vargas,,10.3,-84.8,Reserva Biológica Monteverde Sendero San Luis.,1987.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.|J. Gaw
9207,PRESERVED_SPECIMEN,Arachnothryx aspera,519320,GBIF,Hammel 13929,Manuel Vargas,,10.266667,-84.8,Monte Verde area; valley of Río San Luis just south of Monte Verde; in woods along the river.,1985.0,1,1,1,,WGS84,2019,Barry E. Hammel|William A. Haber
9284,PRESERVED_SPECIMEN,Arachnothryx aspera,516843,GBIF,Jiménez Madrigal 957,Manuel Vargas,,9.9,-84.26,"Ciudad Colón, Zona Protectora El Rodeo, por Bajo Morales",1991.0,1,1,1,,WGS84,2019,Quírico Jiménez
9385,PRESERVED_SPECIMEN,Arachnothryx aspera,514435,GBIF,Haber 4314,Manuel Vargas,,10.333333,-84.833333,Monteverde; Guacimal river valley below Monteverde on Pacific slope.,1986.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
9437,PRESERVED_SPECIMEN,Arachnothryx aspera,513050,GBIF,Haber 4040,Manuel Vargas,,10.33333,-84.83333,"Monteverde, San Luis valley below community, premontane moist forest on Pacific slope.",1985.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
9514,PRESERVED_SPECIMEN,Arachnothryx aspera,511941,GBIF,Haber 1218,Manuel Vargas,,10.291939999999999,-84.82583000000001,"Monteverde, Pacific slope, Río Guacimal valley, Quebrada Cambronero",1985.0,1,1,1,,WGS84,2019,William A. Haber
12867,PRESERVED_SPECIMEN,Arachnothryx aspera,2219934,GBIF,Morales Quirós 5945,Manuel Vargas,,9.7125,-84.10583299999999,"Z.P. Caraigres. Cuenca del Pirris-Damas Cerros Caraigres. Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2019,J. F. Morales
12891,PRESERVED_SPECIMEN,Arachnothryx aspera,2218785,GBIF,Jiménez Muñoz 2751,Manuel Vargas,,9.930556,-84.17805600000001,"En borde elevado de Río Corrogres, Santa Ana",1965.0,1,1,1,,WGS84,2019,Alfonso Jiménez M.
12894,PRESERVED_SPECIMEN,Arachnothryx aspera,2218707,GBIF,Rodríguez González 1842,Manuel Vargas,,9.92222,-84.26388,"Cuenca del Tárcoles, Bajo Morales, vecindades del Río Quebrada Honda, a orilla de la carretera",1996.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
12901,PRESERVED_SPECIMEN,Arachnothryx aspera,2218305,GBIF,Chacón Gamboa 20771,Manuel Vargas,,10.06222,-84.48638000000001,"Santiago de San Ramón, Finca Barranca, bosque muy húmedo premontano",1984.0,1,1,1,,WGS84,2019,Isidro A. Chacón G.|Gerardo Herrera Ch.
12907,PRESERVED_SPECIMEN,Arachnothryx aspera,2217977,GBIF,Haber 424,Manuel Vargas,,10.291939999999999,-84.82166,"Slopes below Monteverde, forest and edge",1981.0,1,1,1,,WGS84,2019,William A. Haber
12910,PRESERVED_SPECIMEN,Arachnothryx aspera,2217805,GBIF,Morales Quirós 6031,Manuel Vargas,,9.757769999999999,-84.18388,"Cuenca del Pirris-Damas. Cerros de Caraigres, cabeceras del Río La Cerros de Caraigres, cabeceras del Rio La Mesa, cerca Ceiba Este. 9o 45'28""N 84o11'02'W.",1997.0,1,1,1,,WGS84,2019,J. F. Morales
15871,PRESERVED_SPECIMEN,Arachnothryx aspera,100565780,GBIF,Hammel 22474,Manuel Vargas,,9.802778,-84.333333,No protegida. Cuenca del Pirrís-Damas. Por camino entre Pedernal y Candelarita.,2002.0,1,1,1,,WGS84,2019,Barry E. Hammel|et al.
15872,PRESERVED_SPECIMEN,Arachnothryx aspera,100565769,GBIF,Santamaría-Aguilar 962,Manuel Vargas,,9.911111,-84.266667,Z.P. El Rodeo. Cuenca del Tárcoles. Ciudad Colón. El Rodeo.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
16127,PRESERVED_SPECIMEN,Arachnothryx aspera,100501079,GBIF,Bustamante Bustamante 119,Manuel Vargas,,9.877778,-84.275,No protegida. Cuenca del Tárcoles. Bajo Molejonal.,2001.0,1,1,1,,WGS84,2019,Julio Bustamante|Quírico Jiménez
16178,PRESERVED_SPECIMEN,Arachnothryx aspera,100493392,GBIF,Chavarría García 1705,Manuel Vargas,,10.291667,-84.88889,Zona Protectora Abangares. Sector Ecomuseo hasta Rio AguasClaras.,1997.0,1,1,1,,WGS84,2019,Ulises Chavarría
16209,PRESERVED_SPECIMEN,Arachnothryx aspera,100491540,GBIF,Bustamante Bustamante 47,Manuel Vargas,,9.761111,-84.40139,Salirales. En sotobosque.,2001.0,1,1,1,,WGS84,2019,Julio Bustamante
18443,PRESERVED_SPECIMEN,Arachnothryx aspera,4128819,GBIF,,Manuel Vargas,,9.977778,-84.458333,"Cuesta del Aguacate, entre Atenas y San Mateo.",2007.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
19319,PRESERVED_SPECIMEN,Arachnothryx aspera,3954976,GBIF,,Manuel Vargas,,9.911111,-84.266667,"Mora, Ciudad Colón, Zona Prot. El Rodeo, El Rodeo.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
19320,PRESERVED_SPECIMEN,Arachnothryx aspera,3954977,GBIF,,Manuel Vargas,,9.911111,-84.266667,"Mora, Ciudad Colón, Zona Prot. El Rodeo, El Rodeo.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
19321,PRESERVED_SPECIMEN,Arachnothryx aspera,3954978,GBIF,,Manuel Vargas,,9.911111,-84.266667,"Mora, Ciudad Colón, Zona Prot. El Rodeo, El Rodeo.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
19617,PRESERVED_SPECIMEN,Arachnothryx aspera,3906346,GBIF,,Manuel Vargas,,9.916667,-84.266667,Entre Ciudad Colon y Hacienda El Rodeo; vegetacion secundaria cerca del camino.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
19618,PRESERVED_SPECIMEN,Arachnothryx aspera,3906344,GBIF,,Manuel Vargas,,9.916667,-84.266667,Entre Ciudad Colon y Hacienda El Rodeo; vegetacion secundaria cerca del camino.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
19619,PRESERVED_SPECIMEN,Arachnothryx aspera,3906345,GBIF,,Manuel Vargas,,9.916667,-84.266667,Entre Ciudad Colon y Hacienda El Rodeo; vegetacion secundaria cerca del camino.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
