,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
342,HUMAN_OBSERVATION,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.77375,-85.2835,,2017.0,1,1,1,,WGS84,2019,
347,HUMAN_OBSERVATION,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.77375,-85.2835,,2017.0,1,1,1,,WGS84,2019,
2262,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,3429,Manuel Vargas,,15.25,-89.0,"Eastnortheast of Finca El Zapotillo, north shore of Laker Izabal, east of El Estor.",1966.0,1,1,1,,WGS84,2019,Gayle C. Jones; Lynden Facey
2361,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.9,-85.29,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
2364,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.9,-85.29,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
2369,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.9,-85.29,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Rio Francia",2011.0,1,1,1,,WGS84,2019,Jorge Hernandez
2376,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.9,-85.29,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
2388,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.9,-85.29,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
2391,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.9,-85.29,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
2401,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.9,-85.29,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
2411,PRESERVED_SPECIMEN,Arachnothryx costaricensis,,GBIF,,Manuel Vargas,,10.9,-85.29,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Rio Francia",2011.0,1,1,1,,WGS84,2019,Jorge Hernandez
2964,MATERIAL_SAMPLE,Arachnothryx costaricensis,BioBot06172,GBIF,,Manuel Vargas,,10.902999999999999,-85.288,"Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
2971,MATERIAL_SAMPLE,Arachnothryx costaricensis,BioBot06170,GBIF,,Manuel Vargas,,10.902999999999999,-85.288,"Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
2986,MATERIAL_SAMPLE,Arachnothryx costaricensis,BioBot06171,GBIF,,Manuel Vargas,,10.902999999999999,-85.288,"Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Anonas",2010.0,1,1,1,,WGS84,2019,Jorge Hernandez
3036,MATERIAL_SAMPLE,Arachnothryx costaricensis,BioBot06788,GBIF,,Manuel Vargas,,10.901,-85.27600000000001,"Area de Conservacion Guanacaste, Sector Rincon Rain Forest, Sendero Rincon",2012.0,1,1,1,,WGS84,2019,Jorge Hernandez
3057,MATERIAL_SAMPLE,Arachnothryx costaricensis,BioBot06525,GBIF,,Manuel Vargas,,10.902999999999999,-85.288,"Area de Conservacion Guanacaste, Rincon Rainforest, Rio Francia",2011.0,1,1,1,,WGS84,2019,Jorge Hernandez
3642,PRESERVED_SPECIMEN,Arachnothryx costaricensis,MA-01-00759561,GBIF,722,Manuel Vargas,,10.6714,-84.9903,Alajuela: Guatuso. P.N. Volcán Tenorio. Cuenca del Río Frío. Alto Masís,2000.0,1,1,1,,WGS84,2019,J.L. Chaves & E. Muñoz
3674,PRESERVED_SPECIMEN,Arachnothryx costaricensis,MA-01-00734379,GBIF,1265,Manuel Vargas,,10.7028,-85.0444,"Alajuela: Upala. P.N. Volcán Tenorio. Cuenca del Zapote. Estación Biológica Heliconia, colectado en bosque a orilla de Sendero Laguna Danta",2001.0,1,1,1,,WGS84,2019,J.L. Chaves & al.
6061,PRESERVED_SPECIMEN,Arachnothryx costaricensis,3629332,GBIF,931,Manuel Vargas,,15.7,-86.8472,"Pico Bonito National Park: Pico Bonito, Trail between CURLA camp building and first river camp, Primary tropical humid forest along the east side of the river.",1996.0,1,1,1,,WGS84,2019,T. Hawkins
6950,PRESERVED_SPECIMEN,Arachnothryx costaricensis,MG153254,GBIF,780,Manuel Vargas,,15.483332999999998,-87.45,Honduras,1995.0,1,1,1,,WGS84,2019,"Hawkins, T."
6958,PRESERVED_SPECIMEN,Arachnothryx costaricensis,MG143559,GBIF,820,Manuel Vargas,,10.8,-85.31666700000001,Costa Rica,1987.0,1,1,1,,WGS84,2019,"Herrera C., G."
7322,PRESERVED_SPECIMEN,Arachnothryx costaricensis,987393,GBIF,Hawkins 780,Manuel Vargas,,15.494444,-87.454444,Cascada de Río Guán Guán.  On the east slopes of the Río Guán Guán waterfall.,1995.0,1,1,1,,WGS84,2019,Thomas Hawkins|Mary Merello
7340,PRESERVED_SPECIMEN,Arachnothryx costaricensis,983625,GBIF,Haber 11871,Manuel Vargas,,10.73,-85.05,"Cordillera de Guanacaste, Bijagua, slope of Volcán Tenorio, Premontane wet forest on west fancing slope",1994.0,1,1,1,,WGS84,2019,William A. Haber
7545,PRESERVED_SPECIMEN,Arachnothryx costaricensis,906327,GBIF,Morales Quirós 889,Manuel Vargas,,9.7,-84.39,Z.P. La Cangreja; Cerros de Puriscal. Santa Rosa de Puriscal. Bosque primario en las márgenes del Río Negro.,1992.0,1,1,1,,WGS84,2019,J. F. Morales|Quírico Jiménez
7634,PRESERVED_SPECIMEN,Arachnothryx costaricensis,902656,GBIF,Segura Castillo 46,Manuel Vargas,,10.21,-84.6,"Reserva Forestal San Ramón, Cordillera de Tilarán, camino al Volcán Muerto",1993.0,1,1,1,,WGS84,2019,Marianela Segura|J. F. Morales|Curso de Botánica
7690,PRESERVED_SPECIMEN,Arachnothryx costaricensis,900657,GBIF,Zamora Villalobos 1502,Manuel Vargas,,10.37,-84.37,"Llanura de San Carlos, La Marina",1988.0,1,1,1,,WGS84,2019,Nelson Zamora|A. Guevara|O. Sandoval
7713,PRESERVED_SPECIMEN,Arachnothryx costaricensis,899482,GBIF,Bello Carranza 4866,Manuel Vargas,,10.3,-84.58,"Cordillera de Tilarán, Bajo Los Rodríguez, Río La Esperanza, Quebrada Mirasol, Finca Araya",1993.0,1,1,1,,WGS84,2019,Erick Bello C.|William A. Haber|Willow Zuchowski
8877,PRESERVED_SPECIMEN,Arachnothryx costaricensis,537078,GBIF,Hammel 15301,Manuel Vargas,,10.33,-84.51,"San Ramón to Santa Rita de San Carlos on route through Lagitos, km 31, in forest on steep slope along road",1986.0,1,1,1,,WGS84,2019,Barry E. Hammel|Greg C. de Nevers|Carlos Gómez
9097,PRESERVED_SPECIMEN,Arachnothryx costaricensis,523272,GBIF,Morales Quirós 381,Manuel Vargas,,9.697222,-84.391667,Z. P. La Cangreja. Santa Rosa de Puriscal. En las márgenes del Río Negro.,1992.0,1,1,1,,WGS84,2019,J. F. Morales
9178,PRESERVED_SPECIMEN,Arachnothryx costaricensis,520480,GBIF,Liesner 26214,Manuel Vargas,,15.7,-86.85,"Campamento Quebrada Grande, ca. 10 km south west of La Ceiba. At base of north slope of Pico Bonito. Quebrada Grande, from camp to 1.5 km east of camp.",1993.0,1,1,1,,WGS84,2019,Ronald L. Liesner
9182,PRESERVED_SPECIMEN,Arachnothryx costaricensis,520424,GBIF,Liesner 26105,Manuel Vargas,,15.7,-86.85,"Campamento Quebrada Grande ca. 10 km south west of La Ceiba. At base of north slope of Pico Bonito, from camp to 2 km east of camp.",1993.0,1,1,1,,WGS84,2019,Ronald L. Liesner
9257,PRESERVED_SPECIMEN,Arachnothryx costaricensis,517720,GBIF,Rivera Elizondo 1255,Manuel Vargas,,10.79416,-85.27665999999999,"P. Nac. Rincón de la Vieja Sector Finca Leiva, Quebrada Leiva, de la casa de Pedro Leiva, 4 Km arriba sobre el límite este del parque.",1991.0,1,1,1,,WGS84,2019,Gerardo Rivera|Christina Schamm
9343,PRESERVED_SPECIMEN,Arachnothryx costaricensis,515205,GBIF,Herrera Chacón 599,Manuel Vargas,,10.214722,-84.607778,"Reserva Forestal de San Ramón, laderas al este de la estación",1987.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
9344,PRESERVED_SPECIMEN,Arachnothryx costaricensis,515213,GBIF,Herrera Chacón 820,Manuel Vargas,,10.8,-85.31,"Parque Rincón de la Vieja Hacienda Santa María; de la planta Hidroeléctrica, siguiendo el canal hasta la Quebrada Provisión.",1987.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
9417,PRESERVED_SPECIMEN,Arachnothryx costaricensis,513908,GBIF,Hazlett 8098,Manuel Vargas,,15.483329999999999,-87.45,1-2 km NNW of Cabeza del Negro.,1994.0,1,1,1,,WGS84,2019,Donald L. Hazlett|Alan E. Brant
9991,PRESERVED_SPECIMEN,Arachnothryx costaricensis,3471093,GBIF,Espinoza Obando 1396,Manuel Vargas,,10.75,-85.29111,P.N. Rincón de la Vieja. Cordillera de Guanacaste. Santa Maria.,1996.0,1,1,1,,WGS84,2019,Roberto Espinoza
11555,PRESERVED_SPECIMEN,Arachnothryx costaricensis,2418169,GBIF,Haber 11951,Manuel Vargas,,10.366667,-84.616667,"No protegida, Cuenca del San Carlos, 3 km northwest of La Tigra, San Carlos, south bank of Río Peñas Blancas on steep slope above river. Nene castro farm.",1995.0,1,1,1,,WGS84,2019,William A. Haber
12859,PRESERVED_SPECIMEN,Arachnothryx costaricensis,2220672,GBIF,Smith F1948,Manuel Vargas,,10.32,-84.43,"Villa Quesada, Caribbean rain forest, edge forest",1939.0,1,1,1,,WGS84,2019,Austin Smith
12874,PRESERVED_SPECIMEN,Arachnothryx costaricensis,2219697,GBIF,Croat 36301,Manuel Vargas,,10.74,-85.07,"Along road between Cañas and Upala, 4 km NNE of Bijagua on slopes leading into Río Zapote.",1976.0,1,1,1,,WGS84,2019,Thomas B. Croat
12890,PRESERVED_SPECIMEN,Arachnothryx costaricensis,2218822,GBIF,Utley 5361,Manuel Vargas,,10.74,-85.06,About 11 km north of Río Naranjo along road to Upala,1976.0,1,1,1,,WGS84,2019,John F. Utley|K. Burt-Utley
12892,PRESERVED_SPECIMEN,Arachnothryx costaricensis,2218793,GBIF,Smith P2520,Manuel Vargas,,10.30611,-84.42694,"Villa Quesada, rainforest, zone: Caribbean tropical",1940.0,1,1,1,,WGS84,2019,Austin Smith
12911,PRESERVED_SPECIMEN,Arachnothryx costaricensis,2217653,GBIF,Smith H1625,Manuel Vargas,,10.30138,-84.42833,"Villa Quesada, rain forest, caribbean watershed, forest, deep shade",1939.0,1,1,1,,WGS84,2019,Austin Smith
12913,PRESERVED_SPECIMEN,Arachnothryx costaricensis,2217654,GBIF,Poveda Álvarez 439,Manuel Vargas,,9.69,-84.4,Santa Rosa de Puriscal,1973.0,1,1,1,,WGS84,2019,Luis J. Poveda Álvarez
13617,PRESERVED_SPECIMEN,Arachnothryx costaricensis,1921251,GBIF,Liesner 5148,Manuel Vargas,,10.8,-85.26,"Santa Maria National Park (Rincón de la Vieja), disturbed primary forest along stream, road down Caribbean slope, ca. 1 km west of east end of park, 7 km east of colored house at junction of road to Hacienda Santa Maria",1978.0,1,1,1,,WGS84,2019,Ronald L. Liesner
14663,PRESERVED_SPECIMEN,Arachnothryx costaricensis,1416528,GBIF,Holdridge 6781,Manuel Vargas,,9.47,-82.93,Costa Rica/Panama,1972.0,1,1,1,,WGS84,2019,Leslie R. Holdridge
15515,PRESERVED_SPECIMEN,Arachnothryx costaricensis,1072618,GBIF,Hawkins 931,Manuel Vargas,,15.7,-86.847222,Pico Bonito National Park: Pico Bonito. Trail between CURLA camp building and first river camp. Along the east side of the river.,1996.0,1,1,1,,WGS84,2019,Thomas Hawkins
15533,PRESERVED_SPECIMEN,Arachnothryx costaricensis,1055247,GBIF,Evans 2523,Manuel Vargas,,15.65,-86.85,Confluence of Río Bonito and large quebrada flowing from the SW (from the direction of Pico Bonito).,1996.0,1,1,1,,WGS84,2019,Randall J. Evans
