,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8715,PRESERVED_SPECIMEN,Arachnothryx povedae,543152,GBIF,Zúñiga Villegas 412,Manuel Vargas,,9.79,-84.56,Reserva Biológica Carara Sector Río Carara. Sitio Boca de toma.,1991.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga
8716,PRESERVED_SPECIMEN,Arachnothryx povedae,543112,GBIF,Zúñiga Villegas 349,Manuel Vargas,,9.75,-84.55,Reserva Biológica Carara. Sector Bijagual. Sitio Lomas Pizote.,1990.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga|Gerardo Varela
8720,PRESERVED_SPECIMEN,Arachnothryx povedae,542920,GBIF,Zúñiga Villegas 15,Manuel Vargas,,9.786111,-84.586111,Reserva Biológica Carara. Sendero Quebrada Bonita a Bijagual. Sitio Lomas Pizote.,1989.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga|Quírico Jiménez
12799,PRESERVED_SPECIMEN,Arachnothryx povedae,2233486,GBIF,Jiménez Madrigal 2309,Manuel Vargas,,9.71,-84.37,"Zona Protectora La Cangreja, Cuenca del Tulin, Mastatal, Altos fila Cangreja",1997.0,1,1,1,,WGS84,2019,Quírico Jiménez|A. Solano
13588,PRESERVED_SPECIMEN,Arachnothryx povedae,1929618,GBIF,Poveda Álvarez 441,Manuel Vargas,,9.69,-84.4,Santa Rosa de Puriscal,1973.0,1,1,1,,WGS84,2019,Luis J. Poveda Álvarez
21929,PRESERVED_SPECIMEN,Arachnothryx povedae,2831030,GBIF,,Manuel Vargas,,9.697222,-84.391667,Cercanias del rio Negro.,1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
22459,PRESERVED_SPECIMEN,Arachnothryx povedae,1584316,GBIF,,Manuel Vargas,,9.795833,-84.563889,Sector Rio Carara. Sitio Boca de Toma.,1991.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga
22516,PRESERVED_SPECIMEN,Arachnothryx povedae,1582525,GBIF,,Manuel Vargas,,9.697778,-84.389444,Santa Rosa de Puriscal. Bosque primario. en las faldas de la fila La Cangreja.,1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
22787,PRESERVED_SPECIMEN,Arachnothryx povedae,1601224,GBIF,,Manuel Vargas,,9.758333,-84.552778,Sitio Lomas Pizote.,1990.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga
23114,PRESERVED_SPECIMEN,Arachnothryx povedae,1536480,GBIF,,Manuel Vargas,,9.719444000000001,-84.373611,Mastatal.Altos Fila Cangreja.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; Alejandro Solano
23115,PRESERVED_SPECIMEN,Arachnothryx povedae,1536478,GBIF,,Manuel Vargas,,9.719444000000001,-84.373611,Mastatal.Altos Fila Cangreja.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; Alejandro Solano
23117,PRESERVED_SPECIMEN,Arachnothryx povedae,1536481,GBIF,,Manuel Vargas,,9.719444000000001,-84.373611,Mastatal.Altos Fila Cangreja.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; Alejandro Solano
23118,PRESERVED_SPECIMEN,Arachnothryx povedae,1536479,GBIF,,Manuel Vargas,,9.719444000000001,-84.373611,Mastatal.Altos Fila Cangreja.,1997.0,1,1,1,,WGS84,2019,Quirico Jiménez; Alejandro Solano
24847,PRESERVED_SPECIMEN,Arachnothryx povedae,,GBIF,349,Manuel Vargas,,9.6667,-84.0,,1990.0,1,1,1,,WGS84,2019,R. Zúñiga
27202,PRESERVED_SPECIMEN,Arachnothryx povedae,240631,GBIF,,Manuel Vargas,,9.71,-84.37,Z. P. La Cangreja Cuenca del Tulin. Mastatal. Altos Fila Cangreja.,1997.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
27226,PRESERVED_SPECIMEN,Arachnothryx povedae,192994,GBIF,,Manuel Vargas,,9.79,-84.56,"P.N. Carara Sector río Carara, sitio Boca de toma.",1991.0,1,1,1,,WGS84,2019,"Zúñiga, Rodolfo"
27278,PRESERVED_SPECIMEN,Arachnothryx povedae,51260,GBIF,,Manuel Vargas,,9.7,-84.39,P.N. La Cangreja Santa Rosa.,1973.0,1,1,1,,WGS84,2019,"Poveda, Luis Jorge"
