,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
102,PRESERVED_SPECIMEN,Chrysophyllum brenesii,CM376966,GBIF,1718,Manuel Vargas,,10.933333,-85.3,"Alajuela: Upala, Dos Ríos 10 km al Noreste del pueblo. Asentamiento campesino San Gil",1988.0,1,1,1,,WGS84,2019,"Herrera, G."
296,HUMAN_OBSERVATION,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,10.965833,-85.32133,,2019.0,1,1,1,,WGS84,2019,
297,HUMAN_OBSERVATION,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,10.965833,-85.32133,,2019.0,1,1,1,,WGS84,2019,
326,HUMAN_OBSERVATION,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,11.012222,-85.420889,,2017.0,1,1,1,,WGS84,2019,
330,HUMAN_OBSERVATION,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,10.998,-85.455083,,2017.0,1,1,1,,WGS84,2019,
331,HUMAN_OBSERVATION,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,10.953778,-85.31394399999999,,2016.0,1,1,1,,WGS84,2019,
2358,PRESERVED_SPECIMEN,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2359,PRESERVED_SPECIMEN,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,10.9,-85.6,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Rincon",2011.0,1,1,1,,WGS84,2019,Jorge Hernandez
2360,PRESERVED_SPECIMEN,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,11.0,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
2368,PRESERVED_SPECIMEN,Chrysophyllum brenesii,,GBIF,,Manuel Vargas,,10.84,-85.61,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2019,"Adrian Guadamuz, Jorge Hernandez & Jose Perez"
