,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
332,HUMAN_OBSERVATION,Coccoloba porphyrostachys,,GBIF,,Manuel Vargas,,10.938333,-85.31647199999999,,2016.0,1,1,1,,WGS84,2019,
333,HUMAN_OBSERVATION,Coccoloba porphyrostachys,,GBIF,,Manuel Vargas,,10.863333,-85.326167,,2016.0,1,1,1,,WGS84,2019,
363,HUMAN_OBSERVATION,Coccoloba porphyrostachys,,GBIF,,Manuel Vargas,,10.863333,-85.326167,,2016.0,1,1,1,,WGS84,2019,
2491,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales, colectado en el margen del Bosque y pastizales.",2010.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2537,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales, colectado en el margen del Bosque y pastizales.",2010.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2553,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,3370716,GBIF,1450,Manuel Vargas,,10.77,-85.82,"Parque Rincón de La Vieja LIberia. De los naranjos hasta la Quebrada Rancho Grande, 500 m aguas arriba.",1987.0,1,1,1,,WGS84,2019,G. Herrera
2556,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,3370714,GBIF,1891,Manuel Vargas,,10.82,-84.95,"Upala, Bijagua El Pilón, Río Celeste, margen izquierda, aguas arriba a partir del puente camino a La Laguna del Roble.",1988.0,1,1,1,,WGS84,2019,G. Herrera
2983,MATERIAL_SAMPLE,Coccoloba porphyrostachys,BioBot11030,GBIF,,Manuel Vargas,,10.915,-85.47399999999999,"Area de Conservacion Guanacaste, Sector Cacao, Sendero Pedregal, Potreros en regeneracion frente",2010.0,1,1,1,,WGS84,2019,Adrian Guadamuz
3044,MATERIAL_SAMPLE,Coccoloba porphyrostachys,BioBot11022,GBIF,,Manuel Vargas,,10.923,-85.465,"Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales, colectado en el margen del Bosqu",2010.0,1,1,1,,WGS84,2019,Adrian Guadamuz
7348,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,983299,GBIF,Haber 11604,Manuel Vargas,,10.58,-84.93,"Cordillera de Tilarán. 1-2 km west of Lago de Cote, 13 km north of Tilarán, continental divide on SE slope of Volcán Tenorio, Eco-Lodge cloud forest reserve.",1993.0,1,1,1,,WGS84,2019,William A. Haber|Willow Zuchowski
7551,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,905682,GBIF,Ortiz Vargas 310,Manuel Vargas,,10.22,-84.6,"Reserva Forestal San Ramón, Cordillera de Tilarán, Estación Río San Lorencito",1989.0,1,1,1,,WGS84,2019,Rodolfo Ortiz|Víctor Mora
7603,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,903897,GBIF,Rodríguez Ramírez 44,Manuel Vargas,,10.61,-84.99,Z.P. Tenorio; Cordillera de Tilarán. Tierras Morenas; Río San Lorenzo.,1992.0,1,1,1,,WGS84,2019,Gladys Rodríguez
7700,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,900413,GBIF,Bello Carranza 5352,Manuel Vargas,,10.16,-84.5,"Cordillera de Tilarán, Piedades Norte, Burial, Reserva Biológica de Oberdorsf.",1993.0,1,1,1,,WGS84,2019,Erick Bello C.|Eladio Cruz L.|Roy Cruz|Leonel Cruz
7781,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,895882,GBIF,Bello Carranza 2432,Manuel Vargas,,10.31,-84.71,"Reserva Biológica Monteverde, Cordille de Tilarán,  Estación Eladio's.",1990.0,1,1,1,,WGS84,2019,Erick Bello C.
8136,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,733638,GBIF,Haber 7491,Manuel Vargas,,10.41666,-84.88333,"Tilarán, La Chiripa y Cerro Frío, Altos de Río Chiquito. Zona Monteverde, Vertiente Atlántica.",1987.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
8137,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,733630,GBIF,Haber 7489,Manuel Vargas,,10.41666,-84.88333,"Tilarán, La Chiripa y Cerro Frío, Altos de Río Chiquito. Zona Monteverde, Vertiente Atlántica.",1987.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
8138,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,733574,GBIF,Herrera Chacón 1891,Manuel Vargas,,10.81,-84.95,"Bijagua El Pilón. Río Celeste, margen izquierda, aguas arriba a partir del puente camino a La Laguna del Roble",1988.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
8139,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,733550,GBIF,Herrera Chacón 1360,Manuel Vargas,,10.8,-85.32,Parque Rincón de La Vieja Liberia. Del Mirador siguiendo la Fila al Volcán Santa María.,1987.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
8140,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,733558,GBIF,Herrera Chacón 1450,Manuel Vargas,,10.766667,-85.81666700000001,"Parque Rincón de La Vieja Liberia. De los naranjos hasta la Quebrada Rancho Grande, 500 m aguas arriba.",1987.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
8141,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,732965,GBIF,McPherson 13547,Manuel Vargas,,8.75,-82.25,"Fortuna Dam region, along Quebrada       Arena, just south of continental divide; wet forest.",1989.0,1,1,1,,WGS84,2019,Gordon McPherson
8151,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,731276,GBIF,Hammel 16983,Manuel Vargas,,8.66,-83.56,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of S end of valley along Río Riyito.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría|Ángel Solís
8152,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,731246,GBIF,Hammel 16879,Manuel Vargas,,8.55,-83.58,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; on forested slopes at NW end of valley, near Fila Ganado.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría|Ángel Solís
8154,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,730630,GBIF,Bello Carranza 648,Manuel Vargas,,10.38,-84.8,"Reserva Biológica Monteverde, San Gerardo, Río Caño Negro, Finca de Chavarría",1989.0,1,1,1,,WGS84,2019,Erick Bello C.
8155,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,730639,GBIF,Bello Carranza 306,Manuel Vargas,,10.3,-84.75,Reserva Biológica Monteverde Río Peñas Blancas. Finca Klaus Stein.,1988.0,1,1,1,,WGS84,2019,Erick Bello C.
8156,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,730617,GBIF,McPherson 12576,Manuel Vargas,,8.75,-82.25,"Near Fortuna Dam, along Quebrada Arena towards reservoir from highway.",1988.0,1,1,1,,WGS84,2019,Gordon McPherson
10082,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,3404851,GBIF,Chaves Chaves 711,Manuel Vargas,,10.671380000000001,-84.99027,"P.N. Volcán Tenorio. Cuenca del Río Frío. Tenorio. Alto Masís, colectado en bosque secundario.",2000.0,1,1,1,,WGS84,2019,José Luis Chaves|Eleomar Muñoz
13640,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,1913071,GBIF,Rodríguez Ramírez 7,Manuel Vargas,,10.61,-84.99,Z.P. Tenorio; Cord. V. Tilarán; Tierras Morenas; Río San Lorenzo,1994.0,1,1,1,,WGS84,2019,Gladys Rodríguez
13649,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,1911617,GBIF,Rivera Elizondo 1986,Manuel Vargas,,9.96,-83.69,"Monumento Nacional Guayabo, camino arriba de la casa de la Administracíon, 600 m",1992.0,1,1,1,,WGS84,2019,Gerardo Rivera
14865,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,1345054,GBIF,Utley 3550,Manuel Vargas,,10.28,-84.19,"About 5 km from CR #9 on road to Laguna Hule, stream banks and pasture areas",1975.0,1,1,1,,WGS84,2019,John F. Utley|K. Burt-Utley
16949,PRESERVED_SPECIMEN,Coccoloba porphyrostachys,4457505,GBIF,,Manuel Vargas,,10.703555999999999,-84.997056,"Guatuso. P. N. Volcán Tenorio. Área de Conservación Arenal. Est. Pilón. Sendero a los Teñideros, Valle del Río Roble.",2015.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Soo-Yong Kim ; Jose Antonio Azofeifa Zuñiga
