,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2628,PRESERVED_SPECIMEN,Dilodendron elegans,1134,GBIF,,Manuel Vargas,,-19.866667,-40.533333,Comp. Vale do Rio Doce,,1,1,1,,WGS84,2019,
3659,PRESERVED_SPECIMEN,Dilodendron elegans,MA-01-00741419,GBIF,6310,Manuel Vargas,,-13.9005,-68.16552800000001,"Departamento La Paz, Provincia Abel Iturralde.",2001.0,1,1,1,,WGS84,2019,Manuel J. Macía & Javier Quisbert
3662,PRESERVED_SPECIMEN,Dilodendron elegans,MA-01-00741391,GBIF,6140,Manuel Vargas,,-13.8929,-68.1657,"Departamento La Paz, Provincia Abel Iturralde.",2001.0,1,1,1,,WGS84,2019,Manuel J. Macía & Javier Quisbert
3776,UNKNOWN,Dilodendron elegans,20295,GBIF,13,Manuel Vargas,,2.3336099999999997,-72.75028,,,1,1,1,,WGS84,2019,"López, B."
3777,UNKNOWN,Dilodendron elegans,25742,GBIF,2048,Manuel Vargas,,2.6857,-74.1674,,,1,1,1,,WGS84,2019,"Stevenson, P."
3778,UNKNOWN,Dilodendron elegans,68189,GBIF,5128,Manuel Vargas,,2.1861669999999997,-74.120222,,,1,1,1,,WGS84,2019,"Castro, F."
3942,PRESERVED_SPECIMEN,Dilodendron elegans,887206,GBIF,161/80,Manuel Vargas,,-19.39490022365429,-40.071853011445974,Reserva Florestal CVRD.,1980.0,1,1,1,,WGS84,2019,I. A. Silva
5729,PRESERVED_SPECIMEN,Dilodendron elegans,M-0225115 / 704172 / 354206,GBIF,,Manuel Vargas,,10.0,-84.0,Prope Turrialba.,1847.0,1,1,1,,WGS84,2019,"Oersted, A.S. (no. 415)"
6008,PRESERVED_SPECIMEN,Dilodendron elegans,FMB-109230,GBIF,1307,Manuel Vargas,,6.359997,-71.895825,Sabana de la Vieja. La Casirba,2014.0,1,1,1,,WGS84,2019,"Mijares, Francisco | Aymard, Gerardo"
6111,PRESERVED_SPECIMEN,Dilodendron elegans,E00872716,GBIF,R.6320V,Manuel Vargas,,3.35,-61.516667000000005,"SEMA Ecological Reserve, Ilha de Maraca, Roraima. On Trilha de Preguica, c. 5km N of the Casa de Maraca.",1988.0,1,1,1,,WGS84,2019,"Ratter, J.A.; Milliken, W.; Ramos, J. & Lima, J."
6290,PRESERVED_SPECIMEN,Dilodendron elegans,1260,GBIF,,Manuel Vargas,,6.359997,-71.895825,"Vereda Sabanas de La Vieja, predio La Casirba",2014.0,1,1,1,,WGS84,2019,Francisco J. Mijares Santana | Gerardo Aymard-Corredor
6790,PRESERVED_SPECIMEN,Dilodendron elegans,25742,GBIF,2048,Manuel Vargas,,2.68,-74.16,"PNN Tinigua, río Duda, sierra Chamusa, centro de investigaciones ecológicas La Macarena",1997.0,1,1,1,,WGS84,2019,"Stevenson, P."
6823,PRESERVED_SPECIMEN,Dilodendron elegans,3309100,GBIF,261,Manuel Vargas,,11.0,-85.55,"Parque Nacional Guanacaste, Cerro El Hacha, camino a Santa Cecilia.",1992.0,1,1,1,,WGS84,2019,R. Espinoza
6885,PRESERVED_SPECIMEN,Dilodendron elegans,2738692,GBIF,111646,Manuel Vargas,,9.75,-70.25,"Cerro Gordo, cerca del pueblo de Cerro Gordo.",1975.0,1,1,1,,WGS84,2019,J. A. Steyermark & V. Carreño E.
6903,PRESERVED_SPECIMEN,Dilodendron elegans,3456766,GBIF,6140,Manuel Vargas,,-13.8929,-68.1514,Parque Nacional Madidi. Próx,2001.0,1,1,1,,WGS84,2019,M. Macia & et al.
7116,PRESERVED_SPECIMEN,Dilodendron elegans,4462136,GBIF,,Manuel Vargas,,9.308611,-83.74194399999999,"San Isidro de El General, vecindad de Pacuarito. Entre 3 y 4 km al sur de la carretera entre San Isidro y Dominical. Remanentes de bosque a la par del camino y por una quebrada.",2016.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría
7117,PRESERVED_SPECIMEN,Dilodendron elegans,4462135,GBIF,,Manuel Vargas,,9.308611,-83.74194399999999,"San Isidro de El General, vecindad de Pacuarito. Entre 3 y 4 km al sur de la carretera entre San Isidro y Dominical. Remanentes de bosque a la par del camino y por una quebrada.",2016.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría
7240,PRESERVED_SPECIMEN,Dilodendron elegans,100903162,GBIF,Hammel 27057,Manuel Vargas,,9.308611,-83.74194399999999,"Distrito de San Isidro de El General, vecindad de Pacuarito.  Entre 3 y 4 km al sur de la carretera entre San Isidro y Dominical.",2016.0,1,1,1,,WGS84,2019,Barry E. Hammel|Isabel Pérez|Daniel Santamaría
7314,PRESERVED_SPECIMEN,Dilodendron elegans,994568,GBIF,Núñez Vargas 15695,Manuel Vargas,,-12.83416,-69.28527,"Explorer's Inn Tourist Lodge, Río Tambopata.  Lueheopsis rosea (Ducke) Burret.",1994.0,1,1,1,,WGS84,2019,Percy Núñez V.|O. L. Phillips|C. Chacón|R. Ruiz Vigo
10545,PRESERVED_SPECIMEN,Dilodendron elegans,2991479,GBIF,Steyermark 111646,Manuel Vargas,,9.75,-70.25,"Bosque siempreverde, fila y faldas superiores del Cerro Gordo, en suelo arenoso, cerca del pueblo de Cerro Gordo. Distrito Carache.",1975.0,1,1,1,,WGS84,2019,Julian A. Steyermark|Victor Carreño E.
11299,PRESERVED_SPECIMEN,Dilodendron elegans,2693335,GBIF,Espinoza Obando 790,Manuel Vargas,,10.777778,-85.351389,P.N. Rincon de la Vieja. Cordillera de Guanacaste. Estacion Las Pailas. Sendero Santa Maria.,1993.0,1,1,1,,WGS84,2019,Roberto Espinoza
11957,PRESERVED_SPECIMEN,Dilodendron elegans,2355801,GBIF,Jiménez Madrigal 1058,Manuel Vargas,,9.91944,-84.25555,"Ciudad Colón, 1 km oeste del cementerio",1992.0,1,1,1,,WGS84,2019,Quírico Jiménez|Óscar Castro
13184,PRESERVED_SPECIMEN,Dilodendron elegans,2065935,GBIF,Grayum 12003,Manuel Vargas,,10.966667,-85.65,"Laguna La Calavera and environs, Finca La Lolita, along road from Carretera Interamericana to Cuajiniquil.",2004.0,1,1,1,,WGS84,2019,Michael H. Grayum
13273,PRESERVED_SPECIMEN,Dilodendron elegans,2034866,GBIF,Skutch 4876,Manuel Vargas,,9.37222,-83.65333000000001,Basin of El General,1940.0,1,1,1,,WGS84,2019,Alexander F. Skutch
13756,PRESERVED_SPECIMEN,Dilodendron elegans,1862713,GBIF,Macía 6310,Manuel Vargas,,-13.900278,-68.165278,"Parque Nacional Madidi. Bosque tropical lluvioso primario. Tierra firme en una cuchilla, mediana pendiente, próximo a unas ruinas incas",2001.0,1,1,1,,WGS84,2019,Manuel J. Macía|Javier Quisbert
13759,PRESERVED_SPECIMEN,Dilodendron elegans,1859564,GBIF,Macía 6140,Manuel Vargas,,-13.89277,-68.16555,"Parque Nacional Madidi. Bosque tropical lluvioso primario. Tierra firme sin pendiente, próximo a unas ruinas incas",2001.0,1,1,1,,WGS84,2019,Manuel J. Macía|et al.
14082,PRESERVED_SPECIMEN,Dilodendron elegans,173211,GBIF,Gentry 46217,Manuel Vargas,,-12.81666,-69.3,"Tropical moist forest on sandy ""tierra firme"" soil. Upland Tree Plot",1984.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Rodolfo Vásquez|Nestor Jaramillo
14179,PRESERVED_SPECIMEN,Dilodendron elegans,169704,GBIF,Gentry 54431,Manuel Vargas,,-3.25,-72.91666,"Quebrada Sucusari, N side tributary of Río Napo, mature terra firme forest. TRANSECT # 5",1986.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Rodolfo Vásquez|Nestor Jaramillo
14181,PRESERVED_SPECIMEN,Dilodendron elegans,167024,GBIF,Jiménez Madrigal 1150,Manuel Vargas,,9.911111,-84.275,Finca de la Universidad para La Paz,1993.0,1,1,1,,WGS84,2019,Quírico Jiménez|Nora Martín|Eduardo Lépiz|Víctor H. Ramírez
14737,PRESERVED_SPECIMEN,Dilodendron elegans,1404416,GBIF,Skutch 4850,Manuel Vargas,,9.37222,-83.65333000000001,Basin of El General,1940.0,1,1,1,,WGS84,2019,Alexander F. Skutch
