,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7520,PRESERVED_SPECIMEN,Elaeagia glossostipula,907588,GBIF,Jiménez Madrigal 1177,Manuel Vargas,,9.79,-84.46,"Zona Protectora Cerros de Turrubares, Cerros de Puriscal, vecindades de Llano Caite",1993.0,1,1,1,,WGS84,2019,Quírico Jiménez|R. Quesada
9244,PRESERVED_SPECIMEN,Elaeagia glossostipula,517966,GBIF,McPherson 10172,Manuel Vargas,,8.801667,-82.208333,"Along old pipeline road from continental divide. [Coordinates on orginal label: 8º55'4""N, 82º10'4""W].",1986.0,1,1,1,,WGS84,2019,Gordon McPherson|Jorge E. Aranda B.
9270,PRESERVED_SPECIMEN,Elaeagia glossostipula,517246,GBIF,McPherson 10075,Manuel Vargas,,8.771666999999999,-82.216667,"Fortuna Dam region, along continental divide trail bordering Chiriqui. [Coordinates on orginal label: 8º45'4""N, 82º15'4W""].",1986.0,1,1,1,,WGS84,2019,Gordon McPherson|Jorge E. Aranda B.
9485,PRESERVED_SPECIMEN,Elaeagia glossostipula,512404,GBIF,McPherson 13557,Manuel Vargas,,8.773333000000001,-82.215,"Bocas del Toro-Chiriqui border, Fortuna Dam region, along continental divide trail. [Coordinates on orginal label: 8º45'N, 82º15'W]",1989.0,1,1,1,,WGS84,2019,Gordon McPherson
9491,PRESERVED_SPECIMEN,Elaeagia glossostipula,512347,GBIF,McPherson 13550,Manuel Vargas,,8.773333000000001,-82.215,"Bocas del Toro-Chiriqui border, Fortuna Dam region, along continental divide trail. [Coordinates on orginal label: 8º45'N, 82º15'W]",1989.0,1,1,1,,WGS84,2019,Gordon McPherson
9522,PRESERVED_SPECIMEN,Elaeagia glossostipula,511759,GBIF,McPherson 9902,Manuel Vargas,,8.75,-82.25,"Vicinity of Fortuna Dam. Along trail near Río Hornito, c. 8º45'N, 82º15'W. Forest. c. 1100 m.",1986.0,1,1,1,,WGS84,2019,Gordon McPherson
11553,PRESERVED_SPECIMEN,Elaeagia glossostipula,2418220,GBIF,Morales Quirós 6284,Manuel Vargas,,9.586111,-84.148611,"Cuenca del Naranjo y Paquita. Fila Chonta, La Virgen, sector SE, Fila entre la vuelta del Pallo, cabeceras Río Palo Seco y Fila Chonta.",1997.0,1,1,1,,WGS84,2019,J. F. Morales|R. J. Abarca
12704,PRESERVED_SPECIMEN,Elaeagia glossostipula,2264972,GBIF,Correa A. 2885,Manuel Vargas,,8.75,-82.25,"NE del campamento de Fortuna (Hornito). Sitio de presa, después de caseta de excavaciones geológicas",1976.0,1,1,1,,WGS84,2019,Mireya D. Correa A.|Robert L. Dressler|Noris Salazar A.|Jorge A. Mendieta M.|Cristina Garibaldi E.|Francisco Farnum|Tania Béliz
15194,PRESERVED_SPECIMEN,Elaeagia glossostipula,1222125,GBIF,Hammel 20196,Manuel Vargas,,9.29,-83.76,"Fila Costeña, Fila Tinamastes, en la Fila del Farallón remanentes de bosque y márgenes de bosque",1996.0,1,1,1,,WGS84,2019,Barry E. Hammel|Sachiko Yasuda|José Á. González R.|T. Bermúdez
15416,PRESERVED_SPECIMEN,Elaeagia glossostipula,1146777,GBIF,Hampshire 428,Manuel Vargas,,8.766667,-82.216667,"Road from Fortuna Lake to Chiriquí Grande, 5 km along track just S of continental divide.  [Coordinates on original label: 8.49N 82.12W; and elevation 700 m]",1985.0,1,1,1,,WGS84,2019,Rachel J. Hampshire|Caroline Whitefoord
