,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7891,PRESERVED_SPECIMEN,Eugenia haberi,891851,GBIF,Haber 10720,Manuel Vargas,,10.3,-84.8,"Cordillera de Tilarán. Monteverde, lower community on Pacific slope.",1991.0,1,1,1,,WGS84,2019,William A. Haber|Chris Ivey
10443,PRESERVED_SPECIMEN,Eugenia haberi,308770,GBIF,Chávez Obando 391,Manuel Vargas,,10.929167,-85.470833,Parque Nacional Guanacaste Estación Cacao.,1990.0,1,1,1,,WGS84,2019,Carlos Chávez
10444,PRESERVED_SPECIMEN,Eugenia haberi,308762,GBIF,Chávez Obando 553,Manuel Vargas,,10.92,-85.47,Parque Nacional Guanacaste Estación Cacao.,1991.0,1,1,1,,WGS84,2019,Carlos Chávez
10472,PRESERVED_SPECIMEN,Eugenia haberi,307007,GBIF,Acevedo Mendoza 30,Manuel Vargas,,10.92722,-85.49388,Parque Nacional Guanacaste; Estación Cacao; bosque primario.,1990.0,1,1,1,,WGS84,2019,Daniel Acevedo|Curso II de Parataxónomos
10704,PRESERVED_SPECIMEN,Eugenia haberi,2866142,GBIF,Haber 263,Manuel Vargas,,10.30833,-84.81527,"Monteverde, Eston's cliffedge",1979.0,1,1,1,,WGS84,2019,William A. Haber
10770,PRESERVED_SPECIMEN,Eugenia haberi,2865082,GBIF,Haber 263,Manuel Vargas,,10.30833,-84.81527,"Hoge Uppan, Monteverde",1979.0,1,1,1,,WGS84,2019,William A. Haber
14163,PRESERVED_SPECIMEN,Eugenia haberi,1704481,GBIF,Chávez Obando 541,Manuel Vargas,,10.929160000000001,-85.47083,"P.N. Guanacaste, Cord. de Guanacaste; Cerro Cacao. Estación Cacao.",1991.0,1,1,1,,WGS84,2019,Carlos Chávez
23576,PRESERVED_SPECIMEN,Eugenia haberi,1562678,GBIF,,Manuel Vargas,,10.316667,-84.8,La Torre.,1990.0,1,1,1,,WGS84,2019,Erick Bello
23578,PRESERVED_SPECIMEN,Eugenia haberi,1562676,GBIF,,Manuel Vargas,,10.927222,-85.493889,Estacion Cacao; bosque primario.,1990.0,1,1,1,,WGS84,2019,Daniel Acevedo
28621,PRESERVED_SPECIMEN,Eugenia haberi,212913,GBIF,,Manuel Vargas,,10.92,-85.47,"P.N. Guanacaste Cerro Cacao, estación Cacao.",1991.0,1,1,1,,WGS84,2019,"Chávez, Carlos"
28622,PRESERVED_SPECIMEN,Eugenia haberi,212909,GBIF,,Manuel Vargas,,10.92,-85.47,"P.N. Guanacaste Cerro Cacao, estación Cacao.",1991.0,1,1,1,,WGS84,2019,"Chávez, Carlos"
28656,PRESERVED_SPECIMEN,Eugenia haberi,164789,GBIF,,Manuel Vargas,,10.3,-84.8,R.B. Monteverde Lower community on Pacific slope.,1991.0,1,1,1,,WGS84,2019,"Haber, William"
