,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2641,PRESERVED_SPECIMEN,Eugenia pacifica,101126964,GBIF,Rodríguez González 14614,Manuel Vargas,,5.518111,-87.07777800000001,"Isla del Coco.  P.N. Isla del Coco.  Al Norte de Cabo Dampier, Fila que lleva al Cerro Las Madres.",2016.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|G. Blanco-Segura
10698,PRESERVED_SPECIMEN,Eugenia pacifica,2866193,GBIF,Pittier 16247,Manuel Vargas,,5.54111,-87.06416,"Isla de Cocos, valleé de Wafer buissons dans la valleé",1902.0,1,1,1,,WGS84,2019,Henri Pittier
10796,PRESERVED_SPECIMEN,Eugenia pacifica,2864568,GBIF,Gómez-Laurito 6935,Manuel Vargas,,5.5375,-87.06194,"Isla del Cocos, Lomeríos de Bahía Wafer",1981.0,1,1,1,,WGS84,2019,Jorge Gómez-Laurito
10893,PRESERVED_SPECIMEN,Eugenia pacifica,2863159,GBIF,Foster 4175,Manuel Vargas,,5.55,-87.03,"Cocos Island, high plateau southeast of Chatham Bay",1979.0,1,1,1,,WGS84,2019,Robin B. Foster
10949,PRESERVED_SPECIMEN,Eugenia pacifica,2862413,GBIF,Holdridge 5173,Manuel Vargas,,5.52805,-87.06166,Isla de Cocos,1963.0,1,1,1,,WGS84,2019,Leslie R. Holdridge
10956,PRESERVED_SPECIMEN,Eugenia pacifica,2862412,GBIF,Holdridge 5162,Manuel Vargas,,5.54138,-87.06416,"Cocos Island, Wafer Bay river valley",1963.0,1,1,1,,WGS84,2019,Leslie R. Holdridge
12561,PRESERVED_SPECIMEN,Eugenia pacifica,2277996,GBIF,Fournier Origgi 341,Manuel Vargas,,5.53916,-87.04777,Cocos Island,1964.0,1,1,1,,WGS84,2019,Luis A. Fournier O.
14158,PRESERVED_SPECIMEN,Eugenia pacifica,1704616,GBIF,Foster 4163,Manuel Vargas,,5.55,-87.03,"Cocos Island, high plateau southeast of Chatham Bay",1979.0,1,1,1,,WGS84,2019,Robin B. Foster
14740,PRESERVED_SPECIMEN,Eugenia pacifica,1401973,GBIF,Quesada Quesada 1071,Manuel Vargas,,5.54,-87.05,P.N. Isla del Coco. Isla del Coco. Camino a Cerro Iglesias.,1994.0,1,1,1,,WGS84,2019,F. J. Quesada
19302,PRESERVED_SPECIMEN,Eugenia pacifica,3978725,GBIF,,Manuel Vargas,,5.524381,-87.052514,Isla del Coco.,2001.0,1,1,1,,WGS84,2019,Jennifer Trusty
22795,PRESERVED_SPECIMEN,Eugenia pacifica,1600610,GBIF,,Manuel Vargas,,5.544444,-87.05555600000001,Cerro Pelon.,1994.0,1,1,1,,WGS84,2019,Eduardo Lepiz
22796,PRESERVED_SPECIMEN,Eugenia pacifica,1600614,GBIF,,Manuel Vargas,,5.544444,-87.05555600000001,Camino a Cerro Yglesias.,1994.0,1,1,1,,WGS84,2019,Javier Quesada
26513,PRESERVED_SPECIMEN,Eugenia pacifica,121612,GBIF,,Manuel Vargas,,5.53015,-87.06196700000001,Parque Nacional Isla del Coco.,2001.0,1,1,1,,WGS84,2019,J. Trusty
26514,PRESERVED_SPECIMEN,Eugenia pacifica,121023,GBIF,,Manuel Vargas,,5.526533000000001,-87.050717,Parque Nacional Isla del Coco. Very common tree of Los Llanos,2002.0,1,1,1,,WGS84,2019,J. Trusty
28633,PRESERVED_SPECIMEN,Eugenia pacifica,194626,GBIF,,Manuel Vargas,,5.54,-87.05,P.N. Isla del Coco Isla del Coco. Camino a Cerro Iglesias.,1994.0,1,1,1,,WGS84,2019,"Quesada, Francisco"
28650,PRESERVED_SPECIMEN,Eugenia pacifica,171896,GBIF,,Manuel Vargas,,5.55,-87.06,P.N. Isla del Coco Bahía Wafer.,1994.0,1,1,1,,WGS84,2019,"Dauphin, Gregorio"
28678,PRESERVED_SPECIMEN,Eugenia pacifica,16247,GBIF,,Manuel Vargas,,5.55,-87.04,P.N. Isla del Coco Buissons dans la vallée de Wafer. Cocos Island Pacifique.,,1,1,1,,WGS84,2019,"Pittier, Henry"
