,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
25,HUMAN_OBSERVATION,Guettarda foliacea,61573458,GBIF,,Manuel Vargas,,9.171610000000001,-79.753715,,2020.0,1,1,1,,WGS84,2019,Hubert Szczygieł
26,HUMAN_OBSERVATION,Guettarda foliacea,60348699,GBIF,,Manuel Vargas,,9.135945,-79.72069300000001,,2020.0,1,1,1,,WGS84,2019,Rebeca Hill
285,HUMAN_OBSERVATION,Guettarda foliacea,,GBIF,,Manuel Vargas,,10.978593,-85.43034300000001,,2019.0,1,1,1,,WGS84,2019,
288,HUMAN_OBSERVATION,Guettarda foliacea,,GBIF,,Manuel Vargas,,10.768583,-85.284028,,2016.0,1,1,1,,WGS84,2019,
2362,PRESERVED_SPECIMEN,Guettarda foliacea,,GBIF,,Manuel Vargas,,11.0,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
2365,PRESERVED_SPECIMEN,Guettarda foliacea,,GBIF,,Manuel Vargas,,11.0,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
2406,PRESERVED_SPECIMEN,Guettarda foliacea,,GBIF,,Manuel Vargas,,11.0,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
2429,PRESERVED_SPECIMEN,Guettarda foliacea,,GBIF,,Manuel Vargas,,11.0,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
2436,PRESERVED_SPECIMEN,Guettarda foliacea,,GBIF,,Manuel Vargas,,11.0,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
2669,PRESERVED_SPECIMEN,Guettarda foliacea,101076540,GBIF,Estrada Chavarría 4509,Manuel Vargas,,9.595333,-84.613167,"Jacó. Camino de lastre entre Playa Hermosa y Bijagual, 1.5 km N de Playa Hermosa.",2009.0,1,1,1,,WGS84,2019,Armando Estrada|Javier Solano
2965,MATERIAL_SAMPLE,Guettarda foliacea,BioBot01777,GBIF,,Manuel Vargas,,11.003,-85.471,"Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
2972,MATERIAL_SAMPLE,Guettarda foliacea,BioBot01778,GBIF,,Manuel Vargas,,11.003,-85.471,"Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
2976,MATERIAL_SAMPLE,Guettarda foliacea,BioBot01779,GBIF,,Manuel Vargas,,11.003,-85.471,"Area de Conservacion Guanacaste, El Oro, Guacimo",2010.0,1,1,1,,WGS84,2019,Roberto Espinoza
3241,PRESERVED_SPECIMEN,Guettarda foliacea,394694,GBIF,6902,Manuel Vargas,,5.609917,-77.420563,Zona costera entre la quebrada Piedra Piedra y río Terco.,1994.0,1,1,1,,WGS84,2019,Pedro Acevedo Rodriguez
3532,PRESERVED_SPECIMEN,Guettarda foliacea,,GBIF,"10,817",Manuel Vargas,,8.403833,-83.125667,Along road between Q. Macho and Q. Higo,2011.0,1,1,1,,WGS84,2019,Ronald L. Jones
3635,PRESERVED_SPECIMEN,Guettarda foliacea,MA-01-00760425,GBIF,7316,Manuel Vargas,,10.8306,-84.9694,Alajuela: Upala. No protegida. Cuenca del Zapote. Márgenes del Río Chimurria. Finca de Guillermo Aponte,2001.0,1,1,1,,WGS84,2019,Alex. Rodr. & E. Lepiz
3681,PRESERVED_SPECIMEN,Guettarda foliacea,MA-01-00719629,GBIF,2013,Manuel Vargas,,7.7,-81.5,Bahía Honda. De Jeringuita a Jeringón. Orilla de quebrada.,2002.0,1,1,1,,WGS84,2019,A. Ibañez & al.
3686,PRESERVED_SPECIMEN,Guettarda foliacea,MA-01-00702923,GBIF,2116 AI,Manuel Vargas,,7.7,-81.4333,"Veraguas, Bahía Honda. Cativito,",2002.0,1,1,1,,WGS84,2019,"Alicia Ibáñez, Alex Espinosa, Roque Mendoza"
4018,PRESERVED_SPECIMEN,Guettarda foliacea,01527699,GBIF,1099,Manuel Vargas,,17.27,-88.57,"Between the Western Highway and the Sibun River, ca. 7 km west of intersection of western Highway and the coastal road ""Manatee Highway"".",1995.0,1,1,1,,WGS84,2019,D. E. Atha
5643,PRESERVED_SPECIMEN,Guettarda foliacea,273891,GBIF,10038,Manuel Vargas,,3.7824,-75.291702,"Entre Coyaima y Chaparral, Quebrada Aico.",1984.0,1,1,1,,WGS84,2019,Enrique Forero González
6932,PRESERVED_SPECIMEN,Guettarda foliacea,273891,GBIF,,Manuel Vargas,,3.7824,-75.2917,"Entre Coyaima y Chaparral, Quebrada Aico.",1984.0,1,1,1,,WGS84,2019,"Forero G., E."
7096,PRESERVED_SPECIMEN,Guettarda foliacea,4985,GBIF,3129,Manuel Vargas,,9.936952999999999,-75.10400600000001,Santuario de Fauna y Flora Los Colorados,1986.0,1,1,1,,WGS84,2019,Hermes Cuadros
7450,PRESERVED_SPECIMEN,Guettarda foliacea,932291,GBIF,Rueda 2083,Manuel Vargas,,11.05,-84.516667,"Río San Juan, Bosque situado al Oeste del Poblado de Boca de Sábalos (finca de Simeón Parrales Ulloa).",1994.0,1,1,1,,WGS84,2019,R. M. Rueda|B. Hernández|E. Palma
7546,PRESERVED_SPECIMEN,Guettarda foliacea,906295,GBIF,Morales Quirós 873,Manuel Vargas,,9.7,-84.39,Z.P. La Cangreja; Cerros de Puriscal. Santa Rosa de Puriscal. Bosque primario en las márgenes del Río Negro.,1992.0,1,1,1,,WGS84,2019,J. F. Morales|Quírico Jiménez
7550,PRESERVED_SPECIMEN,Guettarda foliacea,905694,GBIF,Moraga Medina 516,Manuel Vargas,,10.99,-85.43,"P.N. Guanacaste; Cordillera de Guanacaste. Estación Pitilla, Sta. Cecilia 9 km S.",1992.0,1,1,1,,WGS84,2019,Calixto Moraga
7647,PRESERVED_SPECIMEN,Guettarda foliacea,902084,GBIF,Araya Mena 533,Manuel Vargas,,10.64,-83.72,"R.N.F.S. Barra del Colorado; Llanura de Tortuguero. Cerro Sardina, Sardinas.",1994.0,1,1,1,,WGS84,2019,Flor Araya|et al.
7829,PRESERVED_SPECIMEN,Guettarda foliacea,894416,GBIF,Bello Carranza 1925,Manuel Vargas,,10.36,-84.8,"P.N. Arenal; Cordillera de Tilarán. Queb. San Gerardo, Río Caño Negro. Finca de Enrique Quesada y Ceferino González.",1990.0,1,1,1,,WGS84,2019,Erick Bello C.
7931,PRESERVED_SPECIMEN,Guettarda foliacea,889822,GBIF,Morales Quirós 3194,Manuel Vargas,,9.69,-84.17,"Fila Bustamante. Colorado, bosque primaRío en la falda E de Fila San Jerónimo.",1994.0,1,1,1,,WGS84,2019,J. F. Morales
8030,PRESERVED_SPECIMEN,Guettarda foliacea,797080,GBIF,Díaz Santibáñez 6713,Manuel Vargas,,-3.8413800000000005,-80.25833,"Matapalo, zona ""El Caucho-Campo Verde"".  Parcela ""V"" evaluación permanente. Colectado con H. Osores, M. Romero, M. Carero, R. Ocaña, A. Grandez, H. Díaz & D. Díaz.",1993.0,1,1,1,,WGS84,2019,Camilo Díaz S.|et al.
8032,PRESERVED_SPECIMEN,Guettarda foliacea,793272,GBIF,Díaz Santibáñez 5413,Manuel Vargas,,-3.8413800000000005,-80.25916,"Matapalo.  Parcela ""V"" de evaluación permanente.",1992.0,1,1,1,,WGS84,2019,Camilo Díaz S.|et al.
8703,PRESERVED_SPECIMEN,Guettarda foliacea,543754,GBIF,de Nevers 6103,Manuel Vargas,,9.15,-79.7,Pipline Road near Gamboa.,1985.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Susan Charnley
8857,PRESERVED_SPECIMEN,Guettarda foliacea,537460,GBIF,Rivera Elizondo 635,Manuel Vargas,,10.768056,-85.294444,"P. Nac. Rincón de la Vieja.  Sendero de la toma de agua, a 3 Km. de la estación.",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
8872,PRESERVED_SPECIMEN,Guettarda foliacea,537156,GBIF,Ríos Castro 9,Manuel Vargas,,11.033333,-85.408333,"Santa Cecilia, Finca La Pasmompa.",1990.0,1,1,1,,WGS84,2019,Petrona Ríos Castro|Curso II de Parataxónomos
