,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
35,HUMAN_OBSERVATION,Hoffmannia josefina,60128518,GBIF,,Manuel Vargas,,10.298247,-84.783937,,2019.0,1,1,1,,WGS84,2019,mdahms
5900,PRESERVED_SPECIMEN,Hoffmannia josefina,0094970,GBIF,,Manuel Vargas,,10.30833,-84.8,"Costa Rica: Prov. Puntarenas, Monteverde Biol. Res., ca. 84°48'W 10°18'30'' N, ca. 1500 m.",1988.0,1,1,1,,WGS84,2019,"Kiehn,M. & Kiehn,M."
7643,PRESERVED_SPECIMEN,Hoffmannia josefina,902180,GBIF,Zamora Villalobos 2102,Manuel Vargas,,10.05,-83.98,"P.N. Braulio Carrillo; Cordillera Central. San Jerónimo, Alto La Palma, camino al Bajo de la Hondura.",1993.0,1,1,1,,WGS84,2019,Nelson Zamora|Eduardo Lépiz|J. F. Morales|Víctor H. Ramírez
7898,PRESERVED_SPECIMEN,Hoffmannia josefina,891523,GBIF,Haber 10545,Manuel Vargas,,10.38,-84.7,"Bosque Eterno De Los Niños, Cordillera de Tilarán, Valley of Río Agua Gata, Atlantic slope, Road from Lagarto at Inter-American",1991.0,1,1,1,,WGS84,2019,William A. Haber|Willow Zuchowski
8076,PRESERVED_SPECIMEN,Hoffmannia josefina,775901,GBIF,Haber 3955,Manuel Vargas,,10.333333,-84.833333,Monteverde Cloud Forest Reserve; continental divide near La Ventana and elfin forest; lower montane rain forest life zone.,1985.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
8729,PRESERVED_SPECIMEN,Hoffmannia josefina,541970,GBIF,Pounds 485,Manuel Vargas,,10.26,-84.77,"Monteverde Cloud Forest Reserve, Cordillera de Tilarán, lower montane rain forest, (Holdridge Classification), Pacific slope of Continental Divide",1984.0,1,1,1,,WGS84,2019,Willow Z. Pounds
8841,PRESERVED_SPECIMEN,Hoffmannia josefina,537736,GBIF,Boyle 810,Manuel Vargas,,10.138333,-84.109167,"Parque Nacional Braulio Carrillo, upper Volcán Barva, Atlantic slope, ca. 0.5 km below (to north of) main trail to Laguna Barva, descending vía old ""Sendero del Transecto"" then traversing 250 m directly east, Treeplot 2750-3",1992.0,1,1,1,,WGS84,2019,Brad Boyle
8888,PRESERVED_SPECIMEN,Hoffmannia josefina,536718,GBIF,Grayum 5386,Manuel Vargas,,10.3,-84.78,"Vicinity of Finca Peñas Blancas, E slope of Cerros Centinelas, Monte Verde Reserve, Cordillera de Tilarán",1985.0,1,1,1,,WGS84,2019,Michael H. Grayum
9208,PRESERVED_SPECIMEN,Hoffmannia josefina,519178,GBIF,Hammel 13896,Manuel Vargas,,10.28,-84.8,Monte Verde reserve; Sendero Brillante.,1985.0,1,1,1,,WGS84,2019,Barry E. Hammel|Willow Zuchowski
9463,PRESERVED_SPECIMEN,Hoffmannia josefina,512756,GBIF,Haber 1979,Manuel Vargas,,10.306111,-84.7825,"Monteverde Reserve, La Ventana.",1985.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
12494,PRESERVED_SPECIMEN,Hoffmannia josefina,2287955,GBIF,Rodríguez González 3431,Manuel Vargas,,10.071945,-83.988333,PN Braulio Carrillo. Cuenca del Sarapiquí. La Ventana. Camino Viejo la Hondura,1998.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|Luis Diego Vargas
15439,PRESERVED_SPECIMEN,Hoffmannia josefina,1127645,GBIF,Almeda 740,Manuel Vargas,,10.06,-83.98,"Highway 220, 20.3 km N of Guadalupe. Vicinity of Baja La Hondura. Wooded and overgrown roadside banks.",1971.0,1,1,1,,WGS84,2019,Frank Almeda
15441,PRESERVED_SPECIMEN,Hoffmannia josefina,1126785,GBIF,Burger 4900,Manuel Vargas,,10.05,-83.96,"Steep slopes and forested stream sides, valley of the Río Hondura (below La Palma), northeast of San Jeronimo",1968.0,1,1,1,,WGS84,2019,William C. Burger|Robert G. Stolze
15442,PRESERVED_SPECIMEN,Hoffmannia josefina,1126781,GBIF,Haber 516,Manuel Vargas,,10.3,-84.8,"Monteverde, CR",1981.0,1,1,1,,WGS84,2019,William A. Haber
15443,PRESERVED_SPECIMEN,Hoffmannia josefina,1126780,GBIF,Taylor 2764,Manuel Vargas,,10.0,-83.95,"Near Cascajal, about 13.5 km beyond the church in San Isidro de Coronado along the road through Cascajal, roadsides and partially wooded steep slopes near a stream",1984.0,1,1,1,,WGS84,2019,Charlotte M. Taylor
