,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1647,HUMAN_OBSERVATION,Ouratea valerioi,38266238,GBIF,,Manuel Vargas,,9.607987,-82.61623900000001,,2020.0,1,1,1,,WGS84,2019,Leonardo Álvarez
1692,HUMAN_OBSERVATION,Ouratea valerioi,37506222,GBIF,,Manuel Vargas,,9.603082,-82.620721,,2020.0,1,1,1,,WGS84,2019,Leonardo Álvarez
3694,PRESERVED_SPECIMEN,Ouratea valerioi,MA-01-00515046,GBIF,967,Manuel Vargas,,8.4667,-83.5833,"Puntarenas, Parque Nacional Corcovado Sirena, Corcovado Basin Trail",1989.0,1,1,1,,WGS84,2019,C. Kernan & P. Phillips
4067,PRESERVED_SPECIMEN,Ouratea valerioi,01095275,GBIF,11423,Manuel Vargas,,8.6717,-83.5047,"Distrito: Sierpe.  Reserva Forestal Golfo Dulce; Rincón, cerca de Banegas Los Charcos, 1 km. al Este del centro del pueblo Banegas, Estación Biológica Los Charcos de Osa",2008.0,1,1,1,,WGS84,2019,R. Aguilar
17187,PRESERVED_SPECIMEN,Ouratea valerioi,4374858,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
17188,PRESERVED_SPECIMEN,Ouratea valerioi,4374860,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
17189,PRESERVED_SPECIMEN,Ouratea valerioi,4374859,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
18073,PRESERVED_SPECIMEN,Ouratea valerioi,4151129,GBIF,,Manuel Vargas,,8.695833,-83.568333,Rancho Quemado.,2001.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
20583,PRESERVED_SPECIMEN,Ouratea valerioi,3426495,GBIF,,Manuel Vargas,,9.660515,-83.019777,"Q. Las Gemelas, R. B. Hitoy Cerere",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
20584,PRESERVED_SPECIMEN,Ouratea valerioi,3426493,GBIF,,Manuel Vargas,,9.660515,-83.019777,"Q. Las Gemelas, R. B. Hitoy Cerere",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
20586,PRESERVED_SPECIMEN,Ouratea valerioi,3426494,GBIF,,Manuel Vargas,,9.660515,-83.019777,"Q. Las Gemelas, R. B. Hitoy Cerere",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
21406,PRESERVED_SPECIMEN,Ouratea valerioi,2911290,GBIF,,Manuel Vargas,,10.366667,-83.516667,"Estacion Sierpe. 5 Km N de La Aurora, Guapiles. Limite sur del parque, junto al Rio Sierpe. Bosque primario.",1990.0,1,1,1,,WGS84,2019,Abelardo Chacon
21417,PRESERVED_SPECIMEN,Ouratea valerioi,2910749,GBIF,,Manuel Vargas,,9.502778,-82.963889,"Quebrada Amubri, Amubri.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacon
21576,PRESERVED_SPECIMEN,Ouratea valerioi,2924688,GBIF,,Manuel Vargas,,8.466667,-83.583337,"Sirena, Corcovado Basin Trail. 10 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
21630,PRESERVED_SPECIMEN,Ouratea valerioi,2921230,GBIF,,Manuel Vargas,,9.638889,-83.008333,"Valle de las Rosas, Miramar. Afluentes de Rio Moin, margen izquierda.",1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
22268,PRESERVED_SPECIMEN,Ouratea valerioi,2817254,GBIF,,Manuel Vargas,,9.677778,-83.023611,Sendero Chato.,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Soto
