,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3826,PRESERVED_SPECIMEN,Palicourea lancifera,95538,GBIF,1549,Manuel Vargas,,3.81,-67.8,"comunidad indígena de Caño Vitina, cercanías PPV, bosque de llanura aluvial de 15-18m de alt, abierto, bajo epifitismo, sotobosque denso, alta presencia de hojarasca",2014.0,1,1,1,,WGS84,2019,"Rodríguez, M."
3828,PRESERVED_SPECIMEN,Palicourea lancifera,93246,GBIF,852,Manuel Vargas,,3.8,-67.82,"comunidad indígena de Caño Vitina, bosque de 18-20m de alt., abierto, epifitismo medio, sotobosque denso con mal drenaje y temporalmente encharcado en la época de lluvias, suelo con capa de hojarasca de hasta 20cm",2015.0,1,1,1,,WGS84,2019,"Barona, A."
3840,PRESERVED_SPECIMEN,Palicourea lancifera,63075,GBIF,20745,Manuel Vargas,,3.8,-67.82,"comunidad indígena de Caño Vitina, vegetación de sabana de arena blanca, bosque y catinga aledaña",2007.0,1,1,1,,WGS84,2019,"Cárdenas, D."
4029,PRESERVED_SPECIMEN,Palicourea lancifera,02694472,GBIF,22595,Manuel Vargas,,0.70822,-70.237222,"Comunidad Indígena Acaricuara, caño Paca.",2009.0,1,1,1,,WGS84,2019,D. Cárdenas-López
6268,PRESERVED_SPECIMEN,Palicourea lancifera,0088160,GBIF,,Manuel Vargas,,10.185,-84.67778,"Costa Rica, Puntarenas Province, Canton Montes de Oro. Zapotal de Miramar, Reserva Ecologica Bosque Nuboso La Mancuerna. On main trail to viewpoint.",2013.0,1,1,1,,WGS84,2019,"Berger,A. & Schinnerl,J."
6789,PRESERVED_SPECIMEN,Palicourea lancifera,71957,GBIF,22595,Manuel Vargas,,0.7,-70.23,"comunidad indígena de Acaricuara, cñ. Paca, sector sabaneta y catinga de 6 a 8 m de altura",2009.0,1,1,1,,WGS84,2019,"Cárdenas, D."
8712,PRESERVED_SPECIMEN,Palicourea lancifera,543297,GBIF,de Nevers 6825,Manuel Vargas,,8.816667,-82.4,Trail to Cerro Pate Macho.,1986.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Gordon McPherson
9050,PRESERVED_SPECIMEN,Palicourea lancifera,525638,GBIF,Stein 1240,Manuel Vargas,,8.83333,-82.41666,Trail up Cerro Pate Macho. Premontane wet forest.,1983.0,1,1,1,,WGS84,2019,Bruce A. Stein|Robert J. Schmalzel|David W. Roubik
9089,PRESERVED_SPECIMEN,Palicourea lancifera,523382,GBIF,Herrera Chacón 1391,Manuel Vargas,,10.8,-85.32,Parque Rincón de La Vieja Liberia. Del Mirador siguiendo la Fila al Volcán Santa María.,1987.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
9985,PRESERVED_SPECIMEN,Palicourea lancifera,3471702,GBIF,Penneys 561,Manuel Vargas,,10.366667,-84.8,"Cordillera de Guanacaste. Monteverde. San Gerardo Biological Station. Trail to Garden, 500 m E of Station. Premontane rain forest.",1995.0,1,1,1,,WGS84,2019,Darin S. Penneys
