,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2439,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2457,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2477,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2500,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2506,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2534,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2887,PRESERVED_SPECIMEN,Palicourea salicifolia,100954848,GBIF,Sánchez-González 2038,Manuel Vargas,,9.827222,-84.041528,"San Miguel. Area no protegida, aprox. 1 KM Oeste del pueblo de Jerico. Potrero arbolado y pequenos parchas de bosque de robles.",2008.0,1,1,1,,WGS84,2019,Joaquín Sánchez González|et al.
2969,MATERIAL_SAMPLE,Palicourea salicifolia,BioBot10137,GBIF,,Manuel Vargas,,10.923,-85.465,"Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
2979,MATERIAL_SAMPLE,Palicourea salicifolia,BioBot10138,GBIF,,Manuel Vargas,,10.923,-85.465,"Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
3011,MATERIAL_SAMPLE,Palicourea salicifolia,BioBot10139,GBIF,,Manuel Vargas,,10.923,-85.465,"Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2019,Adrian Guadamuz
3620,PRESERVED_SPECIMEN,Palicourea salicifolia,MA-01-00762700,GBIF,231,Manuel Vargas,,9.7092,-83.9475,"Cartago: El Guarco. No protegida. Cuenca del Reventazón. La Chonta, 3km al sur del Empalme, a mano derecha de la Interamericana Sur",2000.0,1,1,1,,WGS84,2019,B. Brak & M. Vroklage
3922,PRESERVED_SPECIMEN,Palicourea salicifolia,132447,GBIF,NY1034,Manuel Vargas,,10.211761,-84.380936,Canton Alfaro Ruiz. Palmira. Zone subtropical.,1938.0,1,1,1,,WGS84,2019,A. F. Smith
5639,PRESERVED_SPECIMEN,Palicourea salicifolia,266918,GBIF,2702,Manuel Vargas,,8.75,-82.25,"Noreste del campamento Fortuna, Hornito sitio de presa.",1976.0,1,1,1,,WGS84,2019,M. D Correa | R. Dressler | N. Salazar
5722,PRESERVED_SPECIMEN,Palicourea salicifolia,M-0198324 / 622061 / 279645,GBIF,,Manuel Vargas,,10.0,-84.0,Chirripó grande.,1932.0,1,1,1,,WGS84,2019,"Kupper, W. (no. 1200)"
5870,PRESERVED_SPECIMEN,Palicourea salicifolia,0088177,GBIF,,Manuel Vargas,,9.67833,-83.87917,"Costa Rica, Cartago Province, Canton El Guarco. Cerro de la Muerte nr. Trinidad de Dota, 2 km north of km 64 of Interamericana highway, Finca Truchas Selva Madre.",2015.0,1,1,1,,WGS84,2019,"Berger,A."
5873,PRESERVED_SPECIMEN,Palicourea salicifolia,0088178,GBIF,,Manuel Vargas,,9.671669999999999,-83.89416999999999,"Costa Rica, San José Province, Canton Dota. Cerro de la Muerte nr. Trinidad de Dota/km 64 on Interamericana highway. Trail surrounding apartment belonging to Finca Truchas Selva Madre.",2015.0,1,1,1,,WGS84,2019,"Berger,A."
7361,PRESERVED_SPECIMEN,Palicourea salicifolia,982700,GBIF,Morales Quirós 4511,Manuel Vargas,,9.71,-84.1,"Z.P. Cerros de Caraigres; Fila Bustamante. Cerro Caraigres, Fila El Alto, bosque primario y paredones cerca del cruce del camino viejo a Bijagual.",1995.0,1,1,1,,WGS84,2019,J. F. Morales
7514,PRESERVED_SPECIMEN,Palicourea salicifolia,907666,GBIF,Morales Quirós 1608,Manuel Vargas,,9.67,-83.87276999999999,"Reserva Forestal Río Macho, Cordillera de Talamanca, Madreselva, robledales y parches alterados en los alrededores de Trinidad",1993.0,1,1,1,,WGS84,2019,J. F. Morales|Eduardo Lépiz|Víctor H. Ramírez|E. Ureña
7838,PRESERVED_SPECIMEN,Palicourea salicifolia,894061,GBIF,Hammel 19506,Manuel Vargas,,9.55,-83.69,"Cordillera de Talamanca, Villa Mills, camino entre Siberia y Alta Piedra, robledales",1994.0,1,1,1,,WGS84,2019,Barry E. Hammel|Eduardo Lépiz|Víctor H. Ramírez|Michael Garita
