,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1420,PRESERVED_SPECIMEN,Plinia povedae,V0563378F,GBIF,,Manuel Vargas,,-2.5861110000000003,-74.4925,Campsite #1 (Alto Mazán) on Rapid Biological Inventory #18.,2006.0,1,1,1,,WGS84,2019,N. Dávila et al.
1481,PRESERVED_SPECIMEN,Plinia povedae,V0563379F,GBIF,,Manuel Vargas,,-2.5861110000000003,-74.4925,Campsite #1 (Alto Mazán) on Rapid Biological Inventory #18.,2006.0,1,1,1,,WGS84,2019,N. Dávila et al.
1809,PRESERVED_SPECIMEN,Plinia povedae,U.1452563,GBIF,"Maas, PJM; Maas-van de Kamer, H; Hammel, BE; Chavarr¡a, MM  7873 ",Manuel Vargas,,8.7,-83.6,Puntarenas: Cantón de Sierpe. High forest W of Rancho Quemada on road to Drake and new logging road.,1991.0,1,1,1,,WGS84,2019,Maas PJM; Maas-van de Kamer H; Hammel BE; Chavarr¡a MM
2138,PRESERVED_SPECIMEN,Plinia povedae,RB01423699,GBIF,2315,Manuel Vargas,,-7.879444,-63.874444,"Parque Nacional Mapinguari, próximo a sede campos do Norte, trilha iniciando o ramal Mississípi (Fazenda Santo Antônio) ca. de 3 km ao Sul da base.",2014.0,1,1,1,,WGS84,2019,L.L. Giacomin; Y.F. Gouvêa
3148,PRESERVED_SPECIMEN,Plinia povedae,3655650,GBIF,16988,Manuel Vargas,,8.67,-83.57,"Reserva Florestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of S end of valley along Río Riyito and Quebrada Quebradón.",1988.0,1,1,1,,WGS84,2019,"B. Hammel, G. Herrera & M. Chavarría"
3153,PRESERVED_SPECIMEN,Plinia povedae,3487189,GBIF,2643,Manuel Vargas,,9.7903,-83.1083,"Cantón de Limón, El Progreso, entre Cerro Muchilla y Cerro Avioneta, cabeceras de Río Suruy. Fila Matama, Valle de la Estrella.",1989.0,1,1,1,,WGS84,2019,G. Herrera & A. Chacon
6504,PRESERVED_SPECIMEN,Plinia povedae,RB00652369,GBIF,4039,Manuel Vargas,,-8.063333,-71.17805600000001,Floresta densa e manchas de floresta com bambu regenerando. Rio Acuraua.,2006.0,1,1,1,,WGS84,2019,"M. Silveira; F. Obermuller, C. S. Pessoa, E. C. de Oliveira et al."
6524,PRESERVED_SPECIMEN,Plinia povedae,RB01204683,GBIF,452,Manuel Vargas,,-9.138889,-64.5025,"Módulo Búfalo, Módulo Búfalo-T1 1000",2015.0,1,1,1,,WGS84,2019,D.M. Torres; M.P.P. do Nascimento; R. Nascimento; A.E. Brina
6974,PRESERVED_SPECIMEN,Plinia povedae,MG007642,GBIF,s.n.,Manuel Vargas,,-4.566667,-44.0,Maranhão,1906.0,1,1,1,,WGS84,2019,"Ducke, A."
7304,PRESERVED_SPECIMEN,Plinia povedae,V0324327F,GBIF,,Manuel Vargas,,-1.517611,-73.81616700000001,Campsite #3 (Medio Campuya) on Rapid Biological and Social Inventory #25.,2012.0,1,1,1,,WGS84,2019,M. A. Ríos Paredes et al.
10326,PRESERVED_SPECIMEN,Plinia povedae,3160743,GBIF,Rodríguez-Reyes 122JR,Manuel Vargas,,7.64305,-81.71333,"Parque Nacional Coiba, Ranchería, bajada a costa N de la isla, borde costero",2004.0,1,1,1,,WGS84,2019,Oris Rodríguez-Reyes|Alicia Ibáñez
10364,PRESERVED_SPECIMEN,Plinia povedae,312266,GBIF,Hammel 16988,Manuel Vargas,,8.666667,-83.56666700000001,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of S end of valley along Río Riyito and Quebrada Quebradón.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría
10372,PRESERVED_SPECIMEN,Plinia povedae,312022,GBIF,Maas 7873,Manuel Vargas,,8.7,-83.6,Cantón de Sierpe. High forest W of Rancho Quemada on road to Drake and new logging road.,1991.0,1,1,1,,WGS84,2019,Paul J. M. Maas|Hiltje Maas|Barry E. Hammel|María Marta Chavarría
10416,PRESERVED_SPECIMEN,Plinia povedae,309750,GBIF,Herrera Chacón 2643,Manuel Vargas,,9.79,-83.1,"Cantón de Limón El Progreso, entre Cerro Muchilla y Cerro Avioneta, cabeceras de Río Suruy. Fila Matama, Valle de la Estrella.",1989.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.|Abelardo Chacón
10423,PRESERVED_SPECIMEN,Plinia povedae,309435,GBIF,Hammel 16886,Manuel Vargas,,8.55,-83.58,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; on forested slopes at NW end of valley, near Fila Ganado.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría|Ángel Solís
10466,PRESERVED_SPECIMEN,Plinia povedae,307219,GBIF,McPherson 7341,Manuel Vargas,,8.783611,-82.186389,"Along road above Chiriquí Grande. [Coordinates on orginal label: c. 8º45'N, 82º15'W].",1985.0,1,1,1,,WGS84,2019,Gordon McPherson
10756,PRESERVED_SPECIMEN,Plinia povedae,2865236,GBIF,Zamora Villalobos 2524,Manuel Vargas,,10.40972,-83.9,Llanura de San Carlos. La Virgen.,1996.0,1,1,1,,WGS84,2019,Nelson Zamora|D. Delgado|V. Herra
10775,PRESERVED_SPECIMEN,Plinia povedae,2864956,GBIF,Rodríguez González 3606,Manuel Vargas,,10.35388,-84.35138,"Cuenca del San Carlos, Calle Damas, bosque aledaños al Río Aguas Zarcas, bajo dosel",1998.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|Luis Diego Vargas|Priscilla Hurtado|J. L. Méndez
10838,PRESERVED_SPECIMEN,Plinia povedae,2864033,GBIF,Rodríguez Méndez 13,Manuel Vargas,,8.53444,-83.30388,"Alto de los Mogos, Puerto Jimenez",1985.0,1,1,1,,WGS84,2019,J. A. Rodríguez M.
10906,PRESERVED_SPECIMEN,Plinia povedae,2862911,GBIF,Galdames 2624,Manuel Vargas,,7.696667,-81.621944,"Isla Canales de Afuera, al NE de Isla Coiba. Lado norte.",1996.0,1,1,1,,WGS84,2019,Carmen Galdames|Blanca Araúz|José Deago|Narciso Bastidas
10907,PRESERVED_SPECIMEN,Plinia povedae,2862910,GBIF,Galdames 2608,Manuel Vargas,,7.696667,-81.621944,"Isla Canales de Afuera, al NE de Isla Coiba. Lado norte.",1996.0,1,1,1,,WGS84,2019,Carmen Galdames|Blanca Araúz|José Deago|Narciso Bastidas
10911,PRESERVED_SPECIMEN,Plinia povedae,2862909,GBIF,Estrada Chavarría 2129,Manuel Vargas,,9.29833,-83.77221999999999,Pérez Zeledón. Tinamaste. Finca de los Suizos. bosque,1999.0,1,1,1,,WGS84,2019,Armando Estrada
10940,PRESERVED_SPECIMEN,Plinia povedae,2862527,GBIF,Sánchez Vindas 1185,Manuel Vargas,,8.76638,-83.39194,"Alto de Los Mogos, camino a Rincón de Osa",1986.0,1,1,1,,WGS84,2019,Pablo E. Sánchez V.
13664,PRESERVED_SPECIMEN,Plinia povedae,1908686,GBIF,Valverde Barrantes 1379,Manuel Vargas,,9.66,-82.81,"Cahuita, Cuenca de Río Carbón, Fila Carbón, Carbón 1, Finca de Ecoturismo Canopy.",2001.0,1,1,1,,WGS84,2019,Óscar Valverde|N. Marsonnueve
13773,PRESERVED_SPECIMEN,Plinia povedae,1842530,GBIF,Zamora Villalobos 975,Manuel Vargas,,8.74,-83.37,"Alto de Los Mogos, camino a Rincón de Osa",1985.0,1,1,1,,WGS84,2019,Nelson Zamora|Luis J. Poveda Álvarez
14289,PRESERVED_SPECIMEN,Plinia povedae,1556724,GBIF,Galdames 2609,Manuel Vargas,,7.696667,-81.621944,"Isla Canales de Afuera, al NE de Isla Coiba. Lado norte.",1996.0,1,1,1,,WGS84,2019,Carmen Galdames|Blanca Araúz|José Deago|Narciso Bastidas
20124,PRESERVED_SPECIMEN,Plinia povedae,3558417,GBIF,,Manuel Vargas,,9.606944,-84.068056,Rumbo a San Marcos de Tarrazú.,1997.0,1,1,1,,WGS84,2019,Barry Hammel
20125,PRESERVED_SPECIMEN,Plinia povedae,3558416,GBIF,,Manuel Vargas,,9.606944,-84.068056,Rumbo a San Marcos de Tarrazú.,1997.0,1,1,1,,WGS84,2019,Barry Hammel
21626,PRESERVED_SPECIMEN,Plinia povedae,2921409,GBIF,,Manuel Vargas,,9.790278,-83.108333,"El Progreso, entre Cerro Muchilla y Cerro Avioneta, cabeceras de Rio Suruy. Fila Matama.",1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
21710,PRESERVED_SPECIMEN,Plinia povedae,2918502,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,"Rancho Quemado, ca. 15 km W of Rincon; in bottom of S end of valley along Rio Riyito and Quebrada Quebradon.",1988.0,1,1,1,,WGS84,2019,Barry Hammel
21715,PRESERVED_SPECIMEN,Plinia povedae,2918432,GBIF,,Manuel Vargas,,8.55,-83.583333,"Rancho Quemado, ca. 15 km W of Rincon; on forested slopes at NW end of valley, near Fila Ganado.",1988.0,1,1,1,,WGS84,2019,Barry Hammel
22475,PRESERVED_SPECIMEN,Plinia povedae,1583951,GBIF,,Manuel Vargas,,9.583333,-84.216667,San Rafael Norte. Faldas de la fila Chonta.,1993.0,1,1,1,,WGS84,2019,Quirico Jiménez
23195,PRESERVED_SPECIMEN,Plinia povedae,1576951,GBIF,,Manuel Vargas,,9.708889,-84.182778,"Tiquires, bosque primario y potreros en el sitio Aguas Buenas, por La Laguna, falda NW de la cima de la fila Aguabuena",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
23563,PRESERVED_SPECIMEN,Plinia povedae,1562755,GBIF,,Manuel Vargas,,10.125,-83.845833,"Los Angeles, San Miguel. Bosque aledano a la catarata. Rio Blanco.",1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
23602,PRESERVED_SPECIMEN,Plinia povedae,1559979,GBIF,,Manuel Vargas,,8.7,-83.6,High forest W of Rancho Quemado on road to Drake and new logging road.,1991.0,1,1,1,,WGS84,2019,Paulus J. M. Maas
24473,PRESERVED_SPECIMEN,Plinia povedae,V0077194F,GBIF,975,Manuel Vargas,,10.0114,-83.9519,,1985.0,1,1,1,,WGS84,2019,N. Zamora V. & L. J. Poveda
27630,PRESERVED_SPECIMEN,Plinia povedae,224074,GBIF,,Manuel Vargas,,9.04,-83.53,Balsar. San  Rafael de Linda Vista. Lado Pacífico de la fila Costeña.,2000.0,1,1,1,,WGS84,2019,"Blanco, Mario"
27633,PRESERVED_SPECIMEN,Plinia povedae,222510,GBIF,,Manuel Vargas,,9.29,-83.77,"Tinamaste, finca de los Suizos.",1999.0,1,1,1,,WGS84,2019,"Estrada, Armando"
27634,PRESERVED_SPECIMEN,Plinia povedae,179052,GBIF,,Manuel Vargas,,10.51,-83.71,"El Cedral, 26 km N of Cariari, on the farm of Mario Chavarría P. One -ha sample plot in rather tall forest on undulating ground with swampy depressions, Dominance of Pentaclethra macroloba (41% of basal area). Also common: Micropholis crotonoides, Lican",1994.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
