,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1898,PRESERVED_SPECIMEN,Pouteria calistophylla,L.2653253,GBIF,"McPherson, GD  11763 ",Manuel Vargas,,9.416667,-79.666667,,1987.0,1,1,1,,WGS84,2019,McPherson GD
3145,PRESERVED_SPECIMEN,Pouteria calistophylla,3707821,GBIF,20158,Manuel Vargas,,8.8289,-80.6744,Teck Cominco Petaquilla mining concession. Forest along ridge road.,2008.0,1,1,1,,WGS84,2019,G. D. McPherson & M. Merello
3470,HUMAN_OBSERVATION,Pouteria calistophylla,,GBIF,25,Manuel Vargas,,-0.313679,-75.697951,Zoejechoequi trocha hacia Güeppi km 6.5,2011.0,1,1,1,,WGS84,2019,Juan Guevara|Byron Medina|German Toasa|Camilo Kajekai|Tatiana Rivas
3472,HUMAN_OBSERVATION,Pouteria calistophylla,,GBIF,26,Manuel Vargas,,-0.313679,-75.697951,Zoejechoequi trocha hacia Güeppi km 6.5,2011.0,1,1,1,,WGS84,2019,Juan Guevara|Byron Medina|German Toasa|Camilo Kajekai|Tatiana Rivas
3474,HUMAN_OBSERVATION,Pouteria calistophylla,,GBIF,22,Manuel Vargas,,-0.324212,-75.700487,Zoejechoequi trocha hacia Güeppi km 3.5,2011.0,1,1,1,,WGS84,2019,Juan Guevara|Byron Medina|German Toasa|Camilo Kajekai|Tatiana Rivas
5941,PRESERVED_SPECIMEN,Pouteria calistophylla,3579363,GBIF,4114,Manuel Vargas,,9.6833,-83.0722,"Reserva Biol. Hitoy Cerere. Cerere, Valle de La Estrella. Sendero a Cerro Bobocara",1990.0,1,1,1,,WGS84,2019,G. Herrera
7125,PRESERVED_SPECIMEN,Pouteria calistophylla,4461915,GBIF,,Manuel Vargas,,10.327499000000001,-84.07833199999999,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
7128,PRESERVED_SPECIMEN,Pouteria calistophylla,4461914,GBIF,,Manuel Vargas,,10.327499000000001,-84.07833199999999,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
7129,PRESERVED_SPECIMEN,Pouteria calistophylla,4461913,GBIF,,Manuel Vargas,,10.327499000000001,-84.07833199999999,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
7579,PRESERVED_SPECIMEN,Pouteria calistophylla,904797,GBIF,Rodríguez González 437,Manuel Vargas,,10.65,-84.18,"Llanura de San Carlos, Pital, Yucatán, Finca de Carlos Loría Murillo",1994.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
7623,PRESERVED_SPECIMEN,Pouteria calistophylla,903034,GBIF,Herrera Chacón 4114,Manuel Vargas,,9.68,-83.07,R.B. Hitoy Cerere; Valle de la Estrella. Sendero a Cerro Bobócara.,1990.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
7682,PRESERVED_SPECIMEN,Pouteria calistophylla,901107,GBIF,Zamora Villalobos 1726,Manuel Vargas,,10.4,-84.11,Llanura de San Carlos. Finca La Tirimbina.,1991.0,1,1,1,,WGS84,2019,Nelson Zamora
7984,PRESERVED_SPECIMEN,Pouteria calistophylla,886230,GBIF,Herrera 1617,Manuel Vargas,,9.18472,-78.26666,Vertiente Pacifica de la Cordillera de San Blas.,1994.0,1,1,1,,WGS84,2019,Heraclio Herrera
9684,PRESERVED_SPECIMEN,Pouteria calistophylla,409422,GBIF,McPherson 11763,Manuel Vargas,,9.375,-79.68333299999999,"Santa Rita ridge, SE of Colón, 10-11 road-miles from transisthmian highway. [Coordinates on original label: 09º25'N, 79º40'W]",1987.0,1,1,1,,WGS84,2019,Gordon McPherson
9709,PRESERVED_SPECIMEN,Pouteria calistophylla,408626,GBIF,McPherson 11167,Manuel Vargas,,9.25,-79.5,"Cerro Jefe, near summit, along road to east about a quarter mile below tower.",1987.0,1,1,1,,WGS84,2019,Gordon McPherson
9722,PRESERVED_SPECIMEN,Pouteria calistophylla,407857,GBIF,Gentry 60197,Manuel Vargas,,-1.06666,-77.6,"Jatun Sacha Biological Station, 8 km E of Misahuali. Permanent Tree Plot No. 1. Non-alluvial, red clay soil. Transect 8",1987.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|David A. Neill|Phillip Keating
9728,PRESERVED_SPECIMEN,Pouteria calistophylla,407371,GBIF,de Nevers 7510,Manuel Vargas,,9.45,-79.1,Cangandí. Hills near village.,1986.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Heraclio Herrera|Susan Charnley
9730,PRESERVED_SPECIMEN,Pouteria calistophylla,407287,GBIF,de Nevers 5851,Manuel Vargas,,9.333333,-78.966667,El Llano-Cartí Rd. Km 19.1.,1985.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Heraclio Herrera
9735,PRESERVED_SPECIMEN,Pouteria calistophylla,406927,GBIF,Palacios Cuenca 4482,Manuel Vargas,,-1.06666,-77.6,"Cantón Tena. Estación Biológica Jatun Sacha. Río Napo, 8 km al este de Misahuallí. Bosque muy húmedo Tropical. Parcela Permanente 02: árboles marcados. Bosque primario; suelo rojo.",1989.0,1,1,1,,WGS84,2019,Walter A. Palacios
9759,PRESERVED_SPECIMEN,Pouteria calistophylla,406161,GBIF,Palacios Cuenca 1871,Manuel Vargas,,-1.06666,-77.61666,"RESERVA BIOLOGICA JATUN SACHA, 8 km. de Puerto Misahualli, margen derecha del Río Napo. Bosque húmedo tropical. Bosque primario. Suelo rojo de colinas.",1987.0,1,1,1,,WGS84,2019,Walter A. Palacios
9761,PRESERVED_SPECIMEN,Pouteria calistophylla,406078,GBIF,Palacios Cuenca 1720,Manuel Vargas,,-1.06666,-77.61666,"Estación Biológica Jatun Sacha, 8 km. de Puerto de Misahualli, margen derecha del Río Napo. Bosque húmedo tropical. Bosque primario. Suelo rojo de colinas.",1987.0,1,1,1,,WGS84,2019,Walter A. Palacios
9793,PRESERVED_SPECIMEN,Pouteria calistophylla,405245,GBIF,de Nevers 7277,Manuel Vargas,,9.333333,-78.966667,"El Llano-Cartí Road, Km 19.1.",1986.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Heraclio Herrera
9794,PRESERVED_SPECIMEN,Pouteria calistophylla,405200,GBIF,de Nevers 5625,Manuel Vargas,,9.316667,-78.916667,"El Llano-Cartí road, Km 19.",1985.0,1,1,1,,WGS84,2019,Greg C. de Nevers|John Blake|Heraclio Herrera
9795,PRESERVED_SPECIMEN,Pouteria calistophylla,405192,GBIF,de Nevers 4846,Manuel Vargas,,9.333333,-78.966667,"El Llano-Cartí Rd. 19.1 km from Interamerican Hwy. [Coordinates on original label: 9º19'N, 78º55'W].",1985.0,1,1,1,,WGS84,2019,Greg C. de Nevers|David Cavagnaro|J. Herrera|Susan Charnley
9796,PRESERVED_SPECIMEN,Pouteria calistophylla,405184,GBIF,de Nevers 7537,Manuel Vargas,,9.45,-79.1,Cangandí. Hills near village.,1986.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Heraclio Herrera|Susan Charnley
9797,PRESERVED_SPECIMEN,Pouteria calistophylla,405059,GBIF,Neill 9736,Manuel Vargas,,-1.06666,-77.6,"Jatun Sacha Biological Station. Río Napo, 8 km east of Misahuallí. Primary forest on Río Napo floodplain. Marked trees; Permanent Plot 05.",1990.0,1,1,1,,WGS84,2019,David A. Neill|Edgar Gudiño
9798,PRESERVED_SPECIMEN,Pouteria calistophylla,404963,GBIF,Palacios Cuenca 1807,Manuel Vargas,,-1.06666,-77.61666,"Estación Biológica Jatun Sacha, 8 km. de Puerto de Misahualli, margen derecha del Río Napo. Bosque húmedo tropical. Bosque primario. Suelo rojo de colinas.",1987.0,1,1,1,,WGS84,2019,Walter A. Palacios
9910,PRESERVED_SPECIMEN,Pouteria calistophylla,3580616,GBIF,Homeier 2886,Manuel Vargas,,-1.06666,-77.61666,"area of the biological station Jatun Sacha, tropical lowland forest",2007.0,1,1,1,,WGS84,2019,Jürgen Homeier|M.A. Chinchero|E. Jaramillo|L. Guachamin
9912,PRESERVED_SPECIMEN,Pouteria calistophylla,3580590,GBIF,Homeier 2657,Manuel Vargas,,-0.89666,-77.845,"private reserve of the Hakuna Matata lodge, ca. 5km NW of Archidona, premontane tropical forest",2007.0,1,1,1,,WGS84,2019,Jürgen Homeier|M.A. Chinchero|E. Jaramillo
9917,PRESERVED_SPECIMEN,Pouteria calistophylla,3578788,GBIF,Homeier 2754,Manuel Vargas,,-0.89666,-77.845,"private reserve of the Hakuna Matata lodge, ca. 5km NW of Archidona, premontane tropical forest",2007.0,1,1,1,,WGS84,2019,Jürgen Homeier|M.A. Chinchero|E. Jaramillo
9919,PRESERVED_SPECIMEN,Pouteria calistophylla,3578472,GBIF,Homeier 3184,Manuel Vargas,,-1.06666,-77.51666,"area of the Selva Viva reserve, tropical lowland forest",2007.0,1,1,1,,WGS84,2019,Jürgen Homeier|M.A. Chinchero|E. Jaramillo|L. Guachamin
10002,PRESERVED_SPECIMEN,Pouteria calistophylla,3469158,GBIF,Vargas Ramírez 1610,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: CES 250m. Der. 5 m.,2006.0,1,1,1,,WGS84,2019,Orlando Vargas
10008,PRESERVED_SPECIMEN,Pouteria calistophylla,3468748,GBIF,Zamora Villalobos 3983,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station. Sendero: CC 1800m.,2007.0,1,1,1,,WGS84,2019,Nelson Zamora
10031,PRESERVED_SPECIMEN,Pouteria calistophylla,3462868,GBIF,McPherson 20158,Manuel Vargas,,8.828889,-80.674444,Teck Cominco Petaquilla mining concession. Forest along ridge road. Collected with M. Merello.,2008.0,1,1,1,,WGS84,2019,Gordon McPherson
11517,PRESERVED_SPECIMEN,Pouteria calistophylla,2468484,GBIF,Pérez 899,Manuel Vargas,,9.35,-79.75416700000001,Santa Rita. UTM: N1034700.3; E:637474.34,2002.0,1,1,1,,WGS84,2019,R. Pérez|S. Aguilar
11767,PRESERVED_SPECIMEN,Pouteria calistophylla,2386423,GBIF,Hartshorn 2563,Manuel Vargas,,10.42,-84.02,La Selva Protection Zone,1983.0,1,1,1,,WGS84,2019,Gary S. Hartshorn
11770,PRESERVED_SPECIMEN,Pouteria calistophylla,2386235,GBIF,Hartshorn 935,Manuel Vargas,,10.43333,-84.01666,"Finca La Selva, Puerto Viejo. North side of Plot II.",1970.0,1,1,1,,WGS84,2019,Gary S. Hartshorn
13327,PRESERVED_SPECIMEN,Pouteria calistophylla,2000397,GBIF,Hammel 9440,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1980.0,1,1,1,,WGS84,2019,Barry E. Hammel
14463,PRESERVED_SPECIMEN,Pouteria calistophylla,1478983,GBIF,Hartshorn 1037,Manuel Vargas,,10.43,-84.01,"Finca La Selva, Puerto Viejo. Wood voucher. Arboretum tag.",1971.0,1,1,1,,WGS84,2019,Gary S. Hartshorn
14465,PRESERVED_SPECIMEN,Pouteria calistophylla,1478973,GBIF,Sánchez Vindas 560,Manuel Vargas,,10.16,-83.89,Laguna de los cerros adyacentes al Río Corinto. Parque Nal. Braulio Carrillo.,1984.0,1,1,1,,WGS84,2019,Pablo E. Sánchez V.|Nelson Zamora
14467,PRESERVED_SPECIMEN,Pouteria calistophylla,1478991,GBIF,Pennington 11476,Manuel Vargas,,10.08,-83.49,Hills east of Siquirres.  Pasture and forest remnants,1984.0,1,1,1,,WGS84,2019,T. D. Pennington|Luis J. Poveda Álvarez
14568,PRESERVED_SPECIMEN,Pouteria calistophylla,1442263,GBIF,Hammel 10933,Manuel Vargas,,10.41,-84.01,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1981.0,1,1,1,,WGS84,2019,Barry E. Hammel
14575,PRESERVED_SPECIMEN,Pouteria calistophylla,1442042,GBIF,Kennedy 1805,Manuel Vargas,,9.258889,-78.96,6 km above Pan-Am Highway on road from El Llano to Carti-Tupile,1972.0,1,1,1,,WGS84,2019,Helen Kennedy
16290,PRESERVED_SPECIMEN,Pouteria calistophylla,100482432,GBIF,McPherson 21521,Manuel Vargas,,8.832222,-80.684722,"MPSA mining site.  Forested slopes along ridge road, near Pleurothyrium site.",2012.0,1,1,1,,WGS84,2019,Gordon McPherson
17919,PRESERVED_SPECIMEN,Pouteria calistophylla,4166552,GBIF,,Manuel Vargas,,10.433333,-83.983333,Est. Biol. La Selva,2007.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
17920,PRESERVED_SPECIMEN,Pouteria calistophylla,4166551,GBIF,,Manuel Vargas,,10.433333,-83.983333,Est. Biol. La Selva,2007.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
17921,PRESERVED_SPECIMEN,Pouteria calistophylla,4166554,GBIF,,Manuel Vargas,,10.433333,-83.983333,Est. Biol. La Selva,2007.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
17922,PRESERVED_SPECIMEN,Pouteria calistophylla,4166553,GBIF,,Manuel Vargas,,10.433333,-83.983333,Est. Biol. La Selva,2007.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
17923,PRESERVED_SPECIMEN,Pouteria calistophylla,4166556,GBIF,,Manuel Vargas,,10.433333,-83.983333,Est. Biol. La Selva,2007.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
17924,PRESERVED_SPECIMEN,Pouteria calistophylla,4166555,GBIF,,Manuel Vargas,,10.433333,-83.983333,Est. Biol. La Selva,2007.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
17925,PRESERVED_SPECIMEN,Pouteria calistophylla,4166549,GBIF,,Manuel Vargas,,10.433333,-83.983333,Est. Biol. La Selva,2007.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
