,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7124,PRESERVED_SPECIMEN,Pouteria silvestris,4461944,GBIF,,Manuel Vargas,,10.325555,-84.077776,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Río Peje y orilla del cauce del río.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
7126,PRESERVED_SPECIMEN,Pouteria silvestris,4461945,GBIF,,Manuel Vargas,,10.325555,-84.077776,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Río Peje y orilla del cauce del río.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
7127,PRESERVED_SPECIMEN,Pouteria silvestris,4461943,GBIF,,Manuel Vargas,,10.325555,-84.077776,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Río Peje y orilla del cauce del río.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
9760,PRESERVED_SPECIMEN,Pouteria silvestris,406160,GBIF,Tipaz 1430,Manuel Vargas,,1.0,-78.4,Parroquia Tobar Donoso. Sector Sabalera. Reserva Indígena Awá. Bosque primario Noreste Casa Comunal.,1992.0,1,1,1,,WGS84,2019,Galo A. Tipaz|Jorge Zuleta|N. Guanga
10086,PRESERVED_SPECIMEN,Pouteria silvestris,3364330,GBIF,Betancur B. 6041,Manuel Vargas,,5.623333000000001,-77.4175,"Corregimiento Termales, entre Jobi y Arusi. Bosque cerca a las cabañas Pijibá. Costa Pacifica colombiana, estribaciones de la serrania del Baudó, Cabo Corrientes. Bosque primario.",1995.0,1,1,1,,WGS84,2019,Julio C. Betancur B.|W. John Kress|Beatriz E. Echeverry C.
11250,PRESERVED_SPECIMEN,Pouteria silvestris,2707552,GBIF,Rueda 17931,Manuel Vargas,,10.966667,-84.333333,"Municipio de El Castillo, Refugio Bartola.",2005.0,1,1,1,,WGS84,2019,R. M. Rueda|L.D. Paguaga|H. Mendoza|Nelson Zamora|Daniel Solano
11684,PRESERVED_SPECIMEN,Pouteria silvestris,2390639,GBIF,Hartshorn 2550,Manuel Vargas,,10.43138,-84.00361,"In pasture along main road to Quebrada Cantarana, La Selva Protection Zone",1983.0,1,1,1,,WGS84,2019,Gary S. Hartshorn
13270,PRESERVED_SPECIMEN,Pouteria silvestris,2041925,GBIF,Hammel 11233,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel
14114,PRESERVED_SPECIMEN,Pouteria silvestris,1727194,GBIF,Hartshorn 1219,Manuel Vargas,,10.433333,-84.0,,1973.0,1,1,1,,WGS84,2019,Gary S. Hartshorn
14461,PRESERVED_SPECIMEN,Pouteria silvestris,1480607,GBIF,Grayum 2821,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1980.0,1,1,1,,WGS84,2019,Michael H. Grayum
14574,PRESERVED_SPECIMEN,Pouteria silvestris,1442107,GBIF,Hartshorn 1430,Manuel Vargas,,10.43,-84.01,"Finca La Selva, Puerto Viejo. In successional plot along the east trail, south of Line 1600",1974.0,1,1,1,,WGS84,2019,Gary S. Hartshorn
14764,PRESERVED_SPECIMEN,Pouteria silvestris,1394165,GBIF,Rojas Mora 263,Manuel Vargas,,10.53,-83.73,Llanura de Santa Clara. La Rita. Cedrales. Cerca de la carretera a Puerto Lindo.,1995.0,1,1,1,,WGS84,2019,Elías Rojas
15116,PRESERVED_SPECIMEN,Pouteria silvestris,1257864,GBIF,Aguilar Fernández 4258,Manuel Vargas,,10.43,-83.78,Finca La Suerte.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
16402,PRESERVED_SPECIMEN,Pouteria silvestris,100427926,GBIF,Rodríguez González 655,Manuel Vargas,,9.891667,-83.19166700000001,Fila de Matama. Pandora. Cerro Hule.,1995.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
16403,PRESERVED_SPECIMEN,Pouteria silvestris,100427925,GBIF,Kriebel Haehner 4304,Manuel Vargas,,10.666667,-84.233333,"Pital, Boca Tapada.",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel
16796,PRESERVED_SPECIMEN,Pouteria silvestris,100183999,GBIF,McPherson 20942,Manuel Vargas,,8.869444999999999,-80.666667,"Westernmost part of province, site of proposed copper mine (INMET). Tailings Area. Lowland forest. Collected with Jean-Yves Serein.",2009.0,1,1,1,,WGS84,2019,Gordon McPherson
18835,PRESERVED_SPECIMEN,Pouteria silvestris,4083094,GBIF,,Manuel Vargas,,10.676228,-84.234616,"San Carlos, Pital, Boca Tapada.",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel
21852,PRESERVED_SPECIMEN,Pouteria silvestris,2835305,GBIF,,Manuel Vargas,,10.431957,-84.008187,"A.C.C.V.C, Sarapiquí, Zona Prot La Selva, Estación Biol La Selva",1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
21853,PRESERVED_SPECIMEN,Pouteria silvestris,2835306,GBIF,,Manuel Vargas,,10.431957,-84.008187,"A.C.C.V.C, Sarapiquí, Zona Prot La Selva, Estación Biol La Selva",1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
21854,PRESERVED_SPECIMEN,Pouteria silvestris,2835309,GBIF,,Manuel Vargas,,10.431957,-84.008187,"A.C.C.V.C, Sarapiquí, Zona Prot La Selva, Estación Biol La Selva",1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
21855,PRESERVED_SPECIMEN,Pouteria silvestris,2835308,GBIF,,Manuel Vargas,,10.431957,-84.008187,"A.C.C.V.C, Sarapiquí, Zona Prot La Selva, Estación Biol La Selva",1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
21856,PRESERVED_SPECIMEN,Pouteria silvestris,2835307,GBIF,,Manuel Vargas,,10.431957,-84.008187,"A.C.C.V.C, Sarapiquí, Zona Prot La Selva, Estación Biol La Selva",1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
22453,PRESERVED_SPECIMEN,Pouteria silvestris,1584629,GBIF,,Manuel Vargas,,9.891667,-83.19166700000001,Pandora. Cerro Hule.,1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
22719,PRESERVED_SPECIMEN,Pouteria silvestris,1604108,GBIF,,Manuel Vargas,,10.533333,-83.733333,La Rita. Cedrales. Cerca de la carretera a Puerto Lindo.,1995.0,1,1,1,,WGS84,2019,Elias Rojas
23062,PRESERVED_SPECIMEN,Pouteria silvestris,1587503,GBIF,,Manuel Vargas,,10.441667,-83.788889,Finca La Suerte.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
24803,PRESERVED_SPECIMEN,Pouteria silvestris,,GBIF,1430,Manuel Vargas,,10.5,-84.0,,1974.0,1,1,1,,WGS84,2019,G. S. Hartshorn
26188,PRESERVED_SPECIMEN,Pouteria silvestris,K000641067,GBIF,1219,Manuel Vargas,,10.43,-84.02,"El Guinea (annex A) just south of line 1200 Finca la Selva, Puerto Viejo, Sarapiqui, Heredia Province",1973.0,1,1,1,,WGS84,2019,"Hartshorn, G.S."
27566,PRESERVED_SPECIMEN,Pouteria silvestris,212715,GBIF,,Manuel Vargas,,10.53,-83.73,"Cedraes, cerca de la carretera a Puerto Lindo.-",1995.0,1,1,1,,WGS84,2019,"Rojas, Elías"
27576,PRESERVED_SPECIMEN,Pouteria silvestris,200757,GBIF,,Manuel Vargas,,10.44,-83.78,Finca La Suerte.,1995.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
27627,PRESERVED_SPECIMEN,Pouteria silvestris,71852,GBIF,,Manuel Vargas,,10.43,-84.01,"E.B. La Selva In successional plot along the east trail, South of line 1600.",1974.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
