,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
107,PRESERVED_SPECIMEN,Psychotria nubiphila,CM511220,GBIF,1122,Manuel Vargas,,10.316667,-84.8,"Monteverde, on ridge N of TV towers",2005.0,1,1,1,,WGS84,2019,"Paul, J."
260,PRESERVED_SPECIMEN,Psychotria nubiphila,101194327,GBIF,Chinchilla Alvarado 1630,Manuel Vargas,,9.721945,-84.147222,Cangrejal.  Zona Protectora Cerro Caraigres.,2014.0,1,1,1,,WGS84,2019,Isler F. Chinchilla A.|C. Arias Mora|M. Prado Arias
633,PRESERVED_SPECIMEN,Psychotria nubiphila,HEM 26149,GBIF,,Manuel Vargas,,16.2,-93.604167,4.43 km. al SE de Tres Picos.,2002.0,1,1,1,,WGS84,2019,J.C.S.; A.R.G.; M.E.L.V.; D.Cruz
4993,PRESERVED_SPECIMEN,Psychotria nubiphila,1066672,GBIF,,Manuel Vargas,,16.2,-93.604167,4.43 Km al SE de Tres Picos,2002.0,1,1,1,,WGS84,2019,Jorge Calónico Soto; Alberto Reyes García; Ma. Esther León Velasco; Daniel Gómez Casillas
5875,PRESERVED_SPECIMEN,Psychotria nubiphila,0088084,GBIF,,Manuel Vargas,,10.34167,-84.79167,"Costa Rica, Puntarenas Province, Canton Puntarenas. Monteverde region, Santa Elena Cloud Forest Reserve. Loop trail.",2015.0,1,1,1,,WGS84,2019,"Berger,A."
7559,PRESERVED_SPECIMEN,Psychotria nubiphila,905348,GBIF,Herrera Chacón 6023,Manuel Vargas,,9.37,-83.21,P.N. Cordillera de Talamanca; Cordillera de Talamanca. Alredores unión de Queb. Kuisa con Río Lori. Entre Ujarrás y San José Cabécar.,1993.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
7701,PRESERVED_SPECIMEN,Psychotria nubiphila,900323,GBIF,Bello Carranza 5299,Manuel Vargas,,10.24,-84.65,"R.B. Monteverde; Cord. de Tilarán. San Luis; Cerro de Ojo de Agua, Finca de los Alvarado.",1993.0,1,1,1,,WGS84,2019,Erick Bello C.|Eladio Cruz L.
7899,PRESERVED_SPECIMEN,Psychotria nubiphila,891517,GBIF,Hammel 18556,Manuel Vargas,,9.49,-83.7,"Cordillera de Talamanca, entre km 105 y km 116, Carretera Interamericana",1992.0,1,1,1,,WGS84,2019,Barry E. Hammel
7901,PRESERVED_SPECIMEN,Psychotria nubiphila,891476,GBIF,Hammel 18535,Manuel Vargas,,9.47,-83.69,"Cordillera de Talamanca, Carretera Interamericana km 115-116, cuenca de Río Quebradas, bosque primario a la par del camino",1992.0,1,1,1,,WGS84,2019,Barry E. Hammel|Indira Hammel
8732,PRESERVED_SPECIMEN,Psychotria nubiphila,541888,GBIF,Croat 66356,Manuel Vargas,,8.766667,-82.416667,"Vicinity of Boquete, SW slope of Cerro Pate de Macho. Virgin forest",1987.0,1,1,1,,WGS84,2019,Thomas B. Croat
