,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
27,HUMAN_OBSERVATION,Rhizophora samoensis,61278561,GBIF,,Manuel Vargas,,-18.012808,-178.77387199999998,,2020.0,1,1,1,,WGS84,2019,kellytjbrown
373,PRESERVED_SPECIMEN,Rhizophora samoensis,WF1597_5172,GBIF,,Manuel Vargas,,-13.320832999999999,-176.183333,,1982.0,1,1,1,,WGS84,2019,Veillon J.M.
374,PRESERVED_SPECIMEN,Rhizophora samoensis,WF643_4242,GBIF,,Manuel Vargas,,-13.325,-176.175,,1981.0,1,1,1,,WGS84,2019,Hoff M.
375,PRESERVED_SPECIMEN,Rhizophora samoensis,WF1172_7152,GBIF,,Manuel Vargas,,-13.320832999999999,-176.183333,,1982.0,1,1,1,,WGS84,2019,Morat Ph.
376,PRESERVED_SPECIMEN,Rhizophora samoensis,WF3194_,GBIF,,Manuel Vargas,,-13.283332999999999,-176.129167,,,1,1,1,,WGS84,2019,Hoff M. - Relevé Phytosociologique
739,PRESERVED_SPECIMEN,Rhizophora samoensis,XAL0131895,GBIF,,Manuel Vargas,,18.26,-94.626389,Playa Punta de San Juan,2011.0,1,1,1,,WGS84,2019,G. Castillo-Campos; J.J. Pale P.; M.E. Medina A.; E. Ramos
1062,PRESERVED_SPECIMEN,Rhizophora samoensis,XAL0003307,GBIF,,Manuel Vargas,,22.109167000000003,-97.777222,"Frente a La Rivera, Cabo Rojo de la Laguna de Tamiahua",2010.0,1,1,1,,WGS84,2019,G. Castillo-Campos; J.J. Pale P.
5710,HUMAN_OBSERVATION,Rhizophora samoensis,,GBIF,,Manuel Vargas,,-17.648404,168.39343300000002,Vanuatu,2018.0,1,1,1,,WGS84,2019,
6013,PRESERVED_SPECIMEN,Rhizophora samoensis,,GBIF,,Manuel Vargas,,-17.745499,168.315277,"Deuxieme lagon, cote Erakor.",2013.0,1,1,1,,WGS84,2019,"Ramon, Laurence"
6014,PRESERVED_SPECIMEN,Rhizophora samoensis,,GBIF,,Manuel Vargas,,-17.745499,168.315277,Mangrove du second lagon,2014.0,1,1,1,,WGS84,2019,"Ramon, Laurence"
6015,PRESERVED_SPECIMEN,Rhizophora samoensis,,GBIF,,Manuel Vargas,,-13.907354000000002,167.539646,,1983.0,1,1,1,,WGS84,2019,"Veillon, J.M."
6016,PRESERVED_SPECIMEN,Rhizophora samoensis,,GBIF,,Manuel Vargas,,-17.625337,168.388233,,1984.0,1,1,1,,WGS84,2019,"Thomas, A."
13181,PRESERVED_SPECIMEN,Rhizophora samoensis,2066623,GBIF,Liesner 412,Manuel Vargas,,8.216660000000001,-82.88333,"Burica Peninsula. Forest along quebradas and adjacent pastures; Quebrada Merida, 4 mi. (6.5 km) south of Puerto Armuelles.",1973.0,1,1,1,,WGS84,2019,Ronald L. Liesner
