,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7570,PRESERVED_SPECIMEN,Rudgea laevis,905018,GBIF,Herrera Chacón 5850,Manuel Vargas,,9.29,-83.25,"R.I. Ujarrás; Cordillera de Talamanca. Ujarrás. Margen izquierda de Quebrada Dorora, camino a Río Lori.",1993.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
8919,PRESERVED_SPECIMEN,Rudgea laevis,533645,GBIF,Obando Arguedas 140,Manuel Vargas,,10.25,-84.8,Reserva Biológica Monteverde,1990.0,1,1,1,,WGS84,2019,Norman Obando
9239,PRESERVED_SPECIMEN,Rudgea laevis,518045,GBIF,Haber 1070,Manuel Vargas,,10.309167,-84.818611,"Monteverde, lower community",1984.0,1,1,1,,WGS84,2019,William A. Haber
9405,PRESERVED_SPECIMEN,Rudgea laevis,514076,GBIF,Haber 8271,Manuel Vargas,,10.3,-84.8,"Monteverde Bajos de La Lindora, Río Guacimal",1988.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
9855,PRESERVED_SPECIMEN,Rudgea laevis,3584958,GBIF,Jiménez Madrigal 1970,Manuel Vargas,,9.275,-83.24444,R.I. Ujarrás. Cordillera de Talamanca. Reserva Biológica Dúrika.,1995.0,1,1,1,,WGS84,2019,Quírico Jiménez
11805,PRESERVED_SPECIMEN,Rudgea laevis,2374084,GBIF,Haber 452,Manuel Vargas,,10.30833,-84.81527,"Monteverde, in forest",1981.0,1,1,1,,WGS84,2019,William A. Haber
15523,PRESERVED_SPECIMEN,Rudgea laevis,1066677,GBIF,Clark 1546,Manuel Vargas,,-2.166667,-80.133333,"Bosque Protector Cerro Blanco. Carretera Guayaquil - Salinas, km 15. Tropical Dry Forest. Mostly limestone soils. Secondary forest with remnant canopy trees.",1995.0,1,1,1,,WGS84,2019,"John L. Clark|Morgan, Mike|Tamara Núñez"
16076,PRESERVED_SPECIMEN,Rudgea laevis,100502788,GBIF,Rodríguez González 11866,Manuel Vargas,,9.106367,-83.08747,"P.N. La Amistad. Cuenca Térraba-Sierpe. Potrero Grande, La Lucha. PILA. Cabeceras del Río Guineal.",2008.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|Daniel Solano|Daniel Santamaría|N. Veas Ayala|C. Godínez|William Gamboa E.|Á. Solís|Marcos Moraga|Eduardo Boza
16078,PRESERVED_SPECIMEN,Rudgea laevis,100502652,GBIF,Haber 12413,Manuel Vargas,,10.3,-84.81667,"No protegida. Cuencas del Lagarto y Guacimal. Monteverde, Bajo del Tigre Reserve, 1 km W of center.",1998.0,1,1,1,,WGS84,2019,William A. Haber
16079,PRESERVED_SPECIMEN,Rudgea laevis,100502608,GBIF,Haber 11925,Manuel Vargas,,10.3107,-84.8085,No protegida. Cuencas del Lagarto y Guacimal. Monteverde. Along canyon of Quebrada Maquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2019,William A. Haber|Willow Zuchowski
17779,PRESERVED_SPECIMEN,Rudgea laevis,4230759,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2019,William Haber
17780,PRESERVED_SPECIMEN,Rudgea laevis,4230756,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2019,William Haber
17781,PRESERVED_SPECIMEN,Rudgea laevis,4230758,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2019,William Haber
17782,PRESERVED_SPECIMEN,Rudgea laevis,4230757,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2019,William Haber
17783,PRESERVED_SPECIMEN,Rudgea laevis,4230755,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2019,William Haber
18052,PRESERVED_SPECIMEN,Rudgea laevis,4153688,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2019,William Haber; Willow Zuchowski
18053,PRESERVED_SPECIMEN,Rudgea laevis,4153689,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2019,William Haber; Willow Zuchowski
18055,PRESERVED_SPECIMEN,Rudgea laevis,4153683,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2019,William Haber; Willow Zuchowski
18060,PRESERVED_SPECIMEN,Rudgea laevis,4153684,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2019,William Haber; Willow Zuchowski
18062,PRESERVED_SPECIMEN,Rudgea laevis,4153685,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2019,William Haber; Willow Zuchowski
18063,PRESERVED_SPECIMEN,Rudgea laevis,4153687,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2019,William Haber; Willow Zuchowski
18065,PRESERVED_SPECIMEN,Rudgea laevis,4153686,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2019,William Haber; Willow Zuchowski
