,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
263,PRESERVED_SPECIMEN,Simira maxonii,101185991,GBIF,Quezada Bonilla 639,Manuel Vargas,,11.1975,-84.389972,"Municipio de El Castillo, en la comunidad de Buena Vista, sobre el camino hacia Las Quezadas",2019.0,1,1,1,,WGS84,2019,J.B. Quezada B.
1706,HUMAN_OBSERVATION,Simira maxonii,36364533,GBIF,,Manuel Vargas,,10.156944000000001,-83.544167,,2019.0,1,1,1,,WGS84,2019,Leonardo Álvarez
1709,PRESERVED_SPECIMEN,Simira maxonii,04230099,GBIF,9000,Manuel Vargas,,8.7,-83.52,"about 5 km. west of Rincón de Osa, Osa Península.",1973.0,1,1,1,,WGS84,2019,W. C. Burger
1710,PRESERVED_SPECIMEN,Simira maxonii,04230094,GBIF,7287,Manuel Vargas,,8.7,-83.52,"About 5 km. west of Rincón de Osa, Osa Península",1970.0,1,1,1,,WGS84,2019,W. C. Burger
1711,PRESERVED_SPECIMEN,Simira maxonii,04230098,GBIF,7287,Manuel Vargas,,8.7,-83.52,"About 5 km. west of Rincón de Osa, Osa Península",1970.0,1,1,1,,WGS84,2019,W. C. Burger
1712,PRESERVED_SPECIMEN,Simira maxonii,04230100,GBIF,3303,Manuel Vargas,,10.3,-83.48,Beside Río Parismina.,1973.0,1,1,1,,WGS84,2019,R. W. Lent
1713,PRESERVED_SPECIMEN,Simira maxonii,04230090,GBIF,9000,Manuel Vargas,,8.7,-83.52,"about 5 km. west of Rincón de Osa, Osa Península.",1973.0,1,1,1,,WGS84,2019,W. C. Burger
1714,PRESERVED_SPECIMEN,Simira maxonii,04230091,GBIF,3303,Manuel Vargas,,10.3,-83.48,Beside Río Parismina.,1973.0,1,1,1,,WGS84,2019,R. W. Lent
2597,PRESERVED_SPECIMEN,Simira maxonii,ASU0046320,GBIF,10236,Manuel Vargas,,10.428045,-84.009945,"La Selva Research Station of OTS, CEN trail.",2002.0,1,1,1,,WGS84,2019,"L. R. Landrum; A. Salywon, K. Bagstad, D. Damrel, R. Schoeninger, E. Gilbert, E. Makings"
2605,PRESERVED_SPECIMEN,Simira maxonii,ASU0046319,GBIF,10236,Manuel Vargas,,10.428045,-84.009945,"La Selva Research Station of OTS, CEN trail.",2002.0,1,1,1,,WGS84,2019,"L. R. Landrum; A. Salywon, K. Bagstad, D. Damrel, R. Schoeninger, E. Gilbert, E. Makings"
2644,PRESERVED_SPECIMEN,Simira maxonii,101105011,GBIF,Orozco C. 3,Manuel Vargas,,7.436944,-75.50666700000001,"Margen izquierdo del rio San Matias, inmediaciones escuela y quebrada El Tigre.",1995.0,1,1,1,,WGS84,2019,C.M. Orozco C.
3232,PRESERVED_SPECIMEN,Simira maxonii,425553,GBIF,3,Manuel Vargas,,7.437222,-75.506668,"Margen izquierdo del rio San Matias, inmediaciones escuela y quebrada El Tigre.",1995.0,1,1,1,,WGS84,2019,C. M. Orozco C.
3559,PRESERVED_SPECIMEN,Simira maxonii,0103400,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica, Province Puntarenas, Golfito. La Gamba (km 37), Sendero Catarata near Rainforest Lodge, riverine forest. 8°41'N, 83°13'W, 70–300 m.",1997.0,1,1,1,,WGS84,2019,"Weissenhofer,A."
3560,PRESERVED_SPECIMEN,Simira maxonii,0103399,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica, Province Puntarenas, Golfito. La Gamba (km 37), Sendero Catarata near Rainforest Lodge, riverine forest. 8°41'N, 83°13'W, 70–300 m.",1997.0,1,1,1,,WGS84,2019,"Weissenhofer,A."
3561,PRESERVED_SPECIMEN,Simira maxonii,0103398,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica, Province Puntarenas, La Gamba, Parque National Esquinas, 8°41'N, 83°13'W, Sendero Pajaros. 70 m.",1999.0,1,1,1,,WGS84,2019,"Will,S."
3563,PRESERVED_SPECIMEN,Simira maxonii,0103397,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica, Puntarenas, Golfito. P. N. Esquinas, Sección ""Bosque de los Austriacos"", 8°41'N, 83°13'W, W Sendero Catarata, near the Esquinas-Rainforest-Lodge La Gamba, 70 m.",1998.0,1,1,1,,WGS84,2019,"Huber,W. & Weissenhofer,A."
3932,PRESERVED_SPECIMEN,Simira maxonii,01282090,GBIF,12069,Manuel Vargas,,8.6886,-83.4761,"Distrito: Sierpe.  Reserva Forestal Golfo Dulce; Rincón, cerca del puente sobre el Río Rincón, Finca de Eugenio",2009.0,1,1,1,,WGS84,2019,R. Aguilar
4017,PRESERVED_SPECIMEN,Simira maxonii,03514051,GBIF,10175,Manuel Vargas,,21.9039,-159.5075,"Koloa District. National Tropical Botanical Garden, McBryde Garden in Lawai Valley,",2010.0,1,1,1,,WGS84,2019,D. H. Lorence
4105,PRESERVED_SPECIMEN,Simira maxonii,01095633,GBIF,12159,Manuel Vargas,,8.675,-83.5225,"Distrito: Sierpe. Reserva Forestal Golfo Dulce. Rincón, camino a Rancho Quemado,  Quebrada La Bonga entre Banegas y Baneguitas, finca de Cipriano.",2009.0,1,1,1,,WGS84,2019,R. Aguilar
5836,PRESERVED_SPECIMEN,Simira maxonii,0094982,GBIF,,Manuel Vargas,,9.89667,-83.65944,"Costa Rica. Prov. Cartago, Gelände des CATIE, Arboretum, ca. 600 m s.m., ca. 83°39'34''W, 9°53'48''N.",1986.0,1,1,1,,WGS84,2019,"Kiehn,M. & Kiehn,M."
5837,PRESERVED_SPECIMEN,Simira maxonii,0094981,GBIF,,Manuel Vargas,,9.89667,-83.65944,"Costa Rica. Prov. Cartago, Gelände des CATIE, Arboretum, ca. 600 m s.m., ca. 83°39'34''W, 9°53'48''N.",1986.0,1,1,1,,WGS84,2019,"Kiehn,M. & Kiehn,M."
5838,PRESERVED_SPECIMEN,Simira maxonii,0094993,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica. Prov. Puntarenas, Region Golfito, ca. 2 km E of La Gamba (Esquinas), (ca. 83°13'W, 8°41'N), secondary forest, ca. 70m s.m.",1998.0,1,1,1,,WGS84,2019,"Kiehn,M."
5839,PRESERVED_SPECIMEN,Simira maxonii,0094983,GBIF,,Manuel Vargas,,9.89667,-83.65944,"Costa Rica. Prov. Cartago, Gelände des CATIE, Arboretum, ca. 600 m s.m., ca. 83°39'34''W, 9°53'48''N.",1986.0,1,1,1,,WGS84,2019,"Kiehn,M. & Kiehn,M."
5840,PRESERVED_SPECIMEN,Simira maxonii,0094107,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Costa Rica: Prov. Puntarenas, region Golfito, ca. 2km E of La Gamba (Esquinas), ca. 83°13'W 8°41'N, ca. 70 m s.m.",1998.0,1,1,1,,WGS84,2019,"Kiehn,M."
5841,PRESERVED_SPECIMEN,Simira maxonii,0095000,GBIF,,Manuel Vargas,,9.89278,-83.65444000000001,"Costa Rica. Prov. Cartago, CATIE bei Turrialba, cult. as Genipa americana im Arboretum des Campo de los Ensayos forestales, ca. 600m s.m.,",1985.0,1,1,1,,WGS84,2019,"Kiehn,M. & Kiehn,M."
5922,PRESERVED_SPECIMEN,Simira maxonii,186694,GBIF,8373,Manuel Vargas,,10.5,-83.7833,Hacienda Tapezco-Hacienda La Suerte; 29 air km W of Tortuguero.,1979.0,1,1,1,,WGS84,2019,"C. Davidson, J. Donahue"
5932,PRESERVED_SPECIMEN,Simira maxonii,,GBIF,7287,Manuel Vargas,,8.7,-83.52,"Moist forest in valley-bottoms, forest with open under story on steep slopes and ridges, and areas of secondary vegetation north and west of the air field, about 5 km. west of Rincon de Osa",1970.0,1,1,1,,WGS84,2019,W. C. Burger & R. L. Liesner
5936,PRESERVED_SPECIMEN,Simira maxonii,,GBIF,8915,Manuel Vargas,,10.5,-83.78,"Hacienda Tapezco-Hda., La Suerte. 29 air km W of Tortugero, primary rainforest in an area being selectively logged, area of low hills and mounds, banks of Rio Suerto",1979.0,1,1,1,,WGS84,2019,C. Davidson & J. Donahue
5955,PRESERVED_SPECIMEN,Simira maxonii,FMB-95581,GBIF,14237A,Manuel Vargas,,1.6163889999999999,-76.104444,Alrededores de la cueva de Los Guácharos,2001.0,1,1,1,,WGS84,2019,"Mendoza, Humberto | Dávila, Daniel | Ramírez, B. | Macías, D. | Medina, Sandra | Estudiantes"
5974,PRESERVED_SPECIMEN,Simira maxonii,FMB-69150,GBIF,3319,Manuel Vargas,,5.285417,-72.678889,Pajarito,1997.0,1,1,1,,WGS84,2019,"Mendoza, Humberto"
5975,PRESERVED_SPECIMEN,Simira maxonii,FMB-69256,GBIF,3284,Manuel Vargas,,5.285417,-72.678889,Pajarito,1997.0,1,1,1,,WGS84,2019,"Mendoza, Humberto"
6001,PRESERVED_SPECIMEN,Simira maxonii,FMB-24652,GBIF,3366,Manuel Vargas,,5.285417,-72.678889,Pajarito,1997.0,1,1,1,,WGS84,2019,"Mendoza, Humberto"
6002,PRESERVED_SPECIMEN,Simira maxonii,FMB-24651,GBIF,3341,Manuel Vargas,,5.435833000000001,-72.68333299999999,Pajarito,1997.0,1,1,1,,WGS84,2019,"Mendoza, Humberto"
6010,PRESERVED_SPECIMEN,Simira maxonii,FMB-106334,GBIF,14237A,Manuel Vargas,,1.6163889999999999,-76.104444,Alrededores de la cueva de Los Guácharos,2001.0,1,1,1,,WGS84,2019,"Mendoza, Humberto | Dávila, Daniel | Ramírez, B. | Macías, D. | Medina, Sandra | Estudiantes curso de Inventarios"
6052,PRESERVED_SPECIMEN,Simira maxonii,3083147,GBIF,8915,Manuel Vargas,,10.5,-83.78,"Hacienda Tapezco-Hda., La Suerte. 29 air km W of Tortugero, primary rainforest in an area being selectively logged, area of low hills and mounds, banks of Rio Suerto",1979.0,1,1,1,,WGS84,2019,C. Davidson & J. Donahue
6060,PRESERVED_SPECIMEN,Simira maxonii,2925111,GBIF,7287,Manuel Vargas,,8.7,-83.52,"Moist forest in valley-bottoms, forest with open under story on steep slopes and ridges, and areas of secondary vegetation north and west of the air field, about 5 km. west of Rincon de Osa",1970.0,1,1,1,,WGS84,2019,W. C. Burger & R. L. Liesner
7422,PRESERVED_SPECIMEN,Simira maxonii,946921,GBIF,Rueda 3524,Manuel Vargas,,11.51666,-84.16666,"Río Punta Gorda, al este del la Corriente la Guitarrona.",1994.0,1,1,1,,WGS84,2019,R. M. Rueda|B. Hernández|I. Coronado G.
7452,PRESERVED_SPECIMEN,Simira maxonii,931896,GBIF,Rueda 1973,Manuel Vargas,,10.966660000000001,-84.3,"Sobre el Río San Juan, a lo largo del Río Bartola.",1994.0,1,1,1,,WGS84,2019,R. M. Rueda|B. Hernández|E. Palma
7454,PRESERVED_SPECIMEN,Simira maxonii,931724,GBIF,Rueda 1840,Manuel Vargas,,10.91666,-83.81666,Entre el Pueblo de San Juan del Norte Nuevo y La casa de Ramón Castillo Viajando por el Caño San Juanillo.,1994.0,1,1,1,,WGS84,2019,R. M. Rueda|B. Hernández|E. Palma
7675,PRESERVED_SPECIMEN,Simira maxonii,901212,GBIF,Araya Mena 225,Manuel Vargas,,10.64,-83.73,R.N.F.S. Barra del Colorado; Llanura de Tortuguero. Sardinas.,1993.0,1,1,1,,WGS84,2019,Flor Araya|Nelson Zamora|Jorge F. Corrales
7689,PRESERVED_SPECIMEN,Simira maxonii,900702,GBIF,Araya Mena 41,Manuel Vargas,,10.64,-83.73,R.N.F.S. Barra del Colorado; Llanura de Tortuguero. Sardinas.,1992.0,1,1,1,,WGS84,2019,Flor Araya
7903,PRESERVED_SPECIMEN,Simira maxonii,891412,GBIF,Hammel 18503,Manuel Vargas,,8.7,-83.55,"R.F. Golfo Dulce; Península de Osa. Rancho Quemado, ca. 15 km Oeste de Rincón; en borde de bosque en fila antes de llegar a Rancho.",1992.0,1,1,1,,WGS84,2019,Barry E. Hammel|Nelson Zamora|N. Marín
7975,PRESERVED_SPECIMEN,Simira maxonii,887390,GBIF,Morales Quirós 1927,Manuel Vargas,,8.7,-83.52,R.F. Golfo Dulce; Península de Osa. Aguabuena; bosque primario en la cuenca de la Quebrada Agua Buena.,1993.0,1,1,1,,WGS84,2019,J. F. Morales|Nelson Zamora|Eduardo Lépiz|Víctor H. Ramírez
8067,PRESERVED_SPECIMEN,Simira maxonii,776711,GBIF,Moreno 12365,Manuel Vargas,,11.59722,-83.70555,"Monkey Point, Caño El Pato, 1.5 km sobre la ribera del Caño",1981.0,1,1,1,,WGS84,2019,P. P. Moreno
8687,PRESERVED_SPECIMEN,Simira maxonii,544320,GBIF,Robles González 1754,Manuel Vargas,,10.43,-83.58,Parque Nacional Tortuguero Estación Agua Fría. Alrededores del Puesto.,1988.0,1,1,1,,WGS84,2019,Rafael Robles
8778,PRESERVED_SPECIMEN,Simira maxonii,539449,GBIF,Solano Marín 49,Manuel Vargas,,10.44,-83.57,Parque Nacional Tortuguero Estación Agua Fría. Sendero Real.,1990.0,1,1,1,,WGS84,2019,José Solano
8935,PRESERVED_SPECIMEN,Simira maxonii,532627,GBIF,Moreno Hernández 110,Manuel Vargas,,8.672222,-83.20277800000001,R.N.V.S. Golfito. Serranías de Golfito. Quebrada La Gamba. A 5 Km. del aeropuerto.,1992.0,1,1,1,,WGS84,2019,Alberth Moreno|Ulises Chavarría|Juan Marín|Barry E. Hammel
8938,PRESERVED_SPECIMEN,Simira maxonii,532017,GBIF,Salick 7920,Manuel Vargas,,11.13333,-84.36666,"La Lupe, near Río Santa Cruz; lowland secondary moist forest on clay soils",1990.0,1,1,1,,WGS84,2019,Jan Salick
8960,PRESERVED_SPECIMEN,Simira maxonii,530651,GBIF,Beach 1476B,Manuel Vargas,,10.42,-84.02,"Puerto Viejo de Sarapiquí, Organization for Tropical Studies, Finca La Selva, pre-montane wet forest",1979.0,1,1,1,,WGS84,2019,James H. Beach
9000,PRESERVED_SPECIMEN,Simira maxonii,528072,GBIF,Araquistain 3435,Manuel Vargas,,11.033333,-83.9,"Río Indio, Caño Negro.",1982.0,1,1,1,,WGS84,2019,M. Araquistain
9029,PRESERVED_SPECIMEN,Simira maxonii,526513,GBIF,Stevens 23407,Manuel Vargas,,11.03333,-84.4,"Between Río Santa Cruz and Caño Santa Crucita, La Palma; tall evergreen forest",1984.0,1,1,1,,WGS84,2019,W. D. Stevens|O. M. Montiel J.|W. Robleto T.
9079,PRESERVED_SPECIMEN,Simira maxonii,523916,GBIF,Salick 8098,Manuel Vargas,,11.13333,-84.43333,"Marcelo, near Río Sabalos; lowland secondary moist forest on clay soils",1991.0,1,1,1,,WGS84,2019,Jan Salick
9126,PRESERVED_SPECIMEN,Simira maxonii,522569,GBIF,Moreno 25514,Manuel Vargas,,11.03333,-84.41666,"La Palma, Río Santa Cruz",1985.0,1,1,1,,WGS84,2019,P. P. Moreno
9213,PRESERVED_SPECIMEN,Simira maxonii,518874,GBIF,Aguilar Fernández 712,Manuel Vargas,,8.7,-83.52,Reserva Forestal Golfo Dulce Aguabuena. Sector oeste.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
9340,PRESERVED_SPECIMEN,Simira maxonii,515261,GBIF,Herrera 1035,Manuel Vargas,,9.25,-78.25,"Playón Chico, Río Ukupseni, caminando por el Río Ukupseni; desde el campamento Neba Dummat hasta la cascada.",1991.0,1,1,1,,WGS84,2019,Heraclio Herrera|Johny Morris|Jimmy Mojica
9342,PRESERVED_SPECIMEN,Simira maxonii,515215,GBIF,McPherson 12295,Manuel Vargas,,8.908056,-82.151667,"Above Chiriquí Grande, 10 road-miles from continental divide and c. 2 road-miles along road east of highway. [Coordinates on orginal label: 8º55'N 82º10'W]",1988.0,1,1,1,,WGS84,2019,Gordon McPherson
9543,PRESERVED_SPECIMEN,Simira maxonii,511234,GBIF,Beach 1476,Manuel Vargas,,10.42,-84.02,"Puerto Viejo de Sarapiquí, Organization for Tropical Studies, Finca La Selva, pre-montane wet forest",1979.0,1,1,1,,WGS84,2019,James H. Beach
9594,PRESERVED_SPECIMEN,Simira maxonii,507746,GBIF,Robleto Téllez 1834,Manuel Vargas,,11.05,-84.46666,"Localidad de Boca de Sábalos, cerca de La Toboba; bosque húmedo tropical",1985.0,1,1,1,,WGS84,2019,W. Robleto T.
9842,PRESERVED_SPECIMEN,Simira maxonii,3589333,GBIF,González Ramírez 1118,Manuel Vargas,,10.879167,-84.311111,"Llanura de San Carlos. Proyecto Minero Places-Dome, camino al cerro Las Crucitas",1996.0,1,1,1,,WGS84,2019,José Á. González R.|Luis J. Poveda Álvarez|A. Barquero|Pablo E. Sánchez V.|Luis A. González
9999,PRESERVED_SPECIMEN,Simira maxonii,3469279,GBIF,Vargas Ramírez 1761,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: SSE 705m. Izq. 1 m.,2007.0,1,1,1,,WGS84,2019,Orlando Vargas
10014,PRESERVED_SPECIMEN,Simira maxonii,3468104,GBIF,Aguilar Fernández RA008011,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: SEDR 0m.,2003.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
10044,PRESERVED_SPECIMEN,Simira maxonii,3447311,GBIF,Santamaría-Aguilar S-949,Manuel Vargas,,8.61305,-83.4825,"Road La Palma-Los Patos, along road",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
10572,PRESERVED_SPECIMEN,Simira maxonii,2968348,GBIF,Folsom 8741,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,James P. Folsom
10649,PRESERVED_SPECIMEN,Simira maxonii,2881132,GBIF,Croat 37022,Manuel Vargas,,9.5,-79.616667,Río Guanché above bridge on Portobelo Road; ca. 3 to 5 km above bridge.,1976.0,1,1,1,,WGS84,2019,Thomas B. Croat
11141,PRESERVED_SPECIMEN,Simira maxonii,2773072,GBIF,Araya Mena 729,Manuel Vargas,,10.643889,-83.736111,R.N.F.S. Barra del Colorado. Llanura de Tortuguero. Sardinas.,1995.0,1,1,1,,WGS84,2019,Flor Araya
11283,PRESERVED_SPECIMEN,Simira maxonii,2703183,GBIF,Jacobs 3088,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1985.0,1,1,1,,WGS84,2019,Brian Jacobs
11297,PRESERVED_SPECIMEN,Simira maxonii,2699155,GBIF,Jacobs 2778,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1984.0,1,1,1,,WGS84,2019,Brian Jacobs
11349,PRESERVED_SPECIMEN,Simira maxonii,2604726,GBIF,McDowell 903,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Tim McDowell
11526,PRESERVED_SPECIMEN,Simira maxonii,2451103,GBIF,Smith 57,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,Damon A. Smith
