,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
229,PRESERVED_SPECIMEN,Stauranthus perforatus,00259503,GBIF,,Manuel Vargas,,19.21667,-96.91667,Along small stream 5 mi NE of Huatusco,1976.0,1,1,1,,WGS84,2019,Grady L. Webster
715,PRESERVED_SPECIMEN,Stauranthus perforatus,XAL0145687,GBIF,,Manuel Vargas,,18.821639,-97.109639,Cerro San Cristóbal,2016.0,1,1,1,,WGS84,2019,A.F. Vargas R.
747,PRESERVED_SPECIMEN,Stauranthus perforatus,V120241,GBIF,,Manuel Vargas,,19.886944,-96.795833,Plan de Almanza,1991.0,1,1,1,,WGS84,2019,C. Gutiérrez-Báez
772,PRESERVED_SPECIMEN,Stauranthus perforatus,V064882,GBIF,,Manuel Vargas,,19.8,-96.81666700000001,6 km al NW de Santa Rita,1975.0,1,1,1,,WGS84,2019,M.S. Vázquez T.
777,PRESERVED_SPECIMEN,Stauranthus perforatus,V115963,GBIF,,Manuel Vargas,,19.8,-96.733333,"Cerro de Villa Rica, cerca de Plan de La Flor",1990.0,1,1,1,,WGS84,2019,C. Gutiérrez-Báez
780,PRESERVED_SPECIMEN,Stauranthus perforatus,V107224,GBIF,,Manuel Vargas,,19.886944,-96.795833,Plan de Almanza,1989.0,1,1,1,,WGS84,2019,C. Gutiérrez-Báez
789,PRESERVED_SPECIMEN,Stauranthus perforatus,V099785,GBIF,,Manuel Vargas,,19.783333,-96.766667,Entre arroyo colorado y Chocoyul,1989.0,1,1,1,,WGS84,2019,C. Gutiérrez-Báez
858,PRESERVED_SPECIMEN,Stauranthus perforatus,K427774,GBIF,,Manuel Vargas,,19.5,-97.083333,"Abajo del Ingenio El Rosario, camino a Buenavista",1989.0,1,1,1,,WGS84,2019,M. Cházaro B.; L.G. Clark; P. Tenorio L.
992,PRESERVED_SPECIMEN,Stauranthus perforatus,V010055,GBIF,,Manuel Vargas,,19.2125,-96.88,El Mirador,1934.0,1,1,1,,WGS84,2019,C.A. Purpus
995,PRESERVED_SPECIMEN,Stauranthus perforatus,V010059,GBIF,,Manuel Vargas,,19.25,-96.55,Near Rancho Remudadero,1932.0,1,1,1,,WGS84,2019,C.A. Purpus
1078,PRESERVED_SPECIMEN,Stauranthus perforatus,V107138,GBIF,,Manuel Vargas,,19.8,-96.75,"Cerro de Villa Rica, al N de Miramar",1989.0,1,1,1,,WGS84,2019,C. Gutiérrez-Báez
1082,PRESERVED_SPECIMEN,Stauranthus perforatus,V094996,GBIF,,Manuel Vargas,,19.816667000000002,-96.766667,"Barranca del Cedral, Sierra Villa Rica",1985.0,1,1,1,,WGS84,2019,C. Gutiérrez-Báez; M. Cházaro B.
1083,PRESERVED_SPECIMEN,Stauranthus perforatus,V116546,GBIF,,Manuel Vargas,,19.75,-96.95,La Cañada,1991.0,1,1,1,,WGS84,2019,C. Gutiérrez-Báez
1092,PRESERVED_SPECIMEN,Stauranthus perforatus,V070106,GBIF,,Manuel Vargas,,19.833333,-96.783333,NO DISPONIBLE,1981.0,1,1,1,,WGS84,2019,C. Gutiérrez-Báez
1096,PRESERVED_SPECIMEN,Stauranthus perforatus,V064881,GBIF,,Manuel Vargas,,19.8,-97.216667,"Puente de Rieles, 4 km NE of Altotonga, 6.5 km by road on road to Tlapacoyan",1980.0,1,1,1,,WGS84,2019,M. Nee; B.F. Hansen
1154,PRESERVED_SPECIMEN,Stauranthus perforatus,K427776,GBIF,,Manuel Vargas,,19.783333,-96.81666700000001,"Los Capulines, near Paz de Enríquez, 8 km by air, N of Chinconquiaco",1984.0,1,1,1,,WGS84,2019,K. Taylor; M. Nee; G. Castillo-Campos
1211,PRESERVED_SPECIMEN,Stauranthus perforatus,71356,GBIF,,Manuel Vargas,,19.823056,-96.821389,"Santa Rita, Sierra de Chiconquiaco",1967.0,1,1,1,,WGS84,2019,L.I. Nevling; A. Gómez-Pompa
2255,PRESERVED_SPECIMEN,Stauranthus perforatus,,GBIF,MJC_31184,Manuel Vargas,,20.0549,-97.3888,PUEBLO: Ejido Metzonate; LOCALIDAD EXACTA: A orilla del río Metzonate.,2016.0,1,1,1,,WGS84,2019,M. Jiménez & M. Gorostiza Salazar
2283,PRESERVED_SPECIMEN,Stauranthus perforatus,,GBIF,3328,Manuel Vargas,,19.83361,-96.81611,"near (just NE of) Loma de Santa Rita, c. 11 km SSE of Misantla",2001.0,1,1,1,,WGS84,2019,"Mitch Provance; Jeffrey S. Ross-Ibarra, Claudia Ross-Ibarra & Carlos Durán-Espinosa"
2287,PRESERVED_SPECIMEN,Stauranthus perforatus,,GBIF,20861,Manuel Vargas,,19.21667,-96.91667,5 mi NE of Huatusco,1976.0,1,1,1,,WGS84,2019,Grady L. Webster
2347,PRESERVED_SPECIMEN,Stauranthus perforatus,101149463,GBIF,Jiménez Chimil 31184,Manuel Vargas,,20.054920000000003,-97.38878000000001,Ejido Metzonate. A orilla del río del Metzonate.,2016.0,1,1,1,,WGS84,2019,Miriam Jiménez C.|Mariano Gorostiza S.
2554,PRESERVED_SPECIMEN,Stauranthus perforatus,3655373,GBIF,2053,Manuel Vargas,,9.4389,-83.8556,Pérez Zeledón. Savegre Abajo de Río Nuevo. Cerro El Zoncho.,1999.0,1,1,1,,WGS84,2019,"A. Estrada, J. Solano & H. Gomez"
3580,PRESERVED_SPECIMEN,Stauranthus perforatus,159143,GBIF,18696,Manuel Vargas,,19.8,-97.2167,"Vicinity ""Puente de Rieles"", 4 km NE of Altotonga (6.5 km by road) on road to Tlapacoyan.",1980.0,1,1,1,,WGS84,2019,"M. Nee, B. F. Hansen"
3978,PRESERVED_SPECIMEN,Stauranthus perforatus,74032,GBIF,s.n.,Manuel Vargas,,19.363056,-96.95,Dos Puentes inter Totutla et Huatusco,1841.0,1,1,1,,WGS84,2019,F. M. Liebmann
4407,PRESERVED_SPECIMEN,Stauranthus perforatus,NO DISPONIBLE,GBIF,,Manuel Vargas,,21.178611,-98.945278,3 km al NNE de Chapulhuacán,1960.0,1,1,1,,WGS84,2019,Rzedowski
4408,PRESERVED_SPECIMEN,Stauranthus perforatus,NO DISPONIBLE,GBIF,,Manuel Vargas,,19.85,-96.761667,"6 km al NW de Santa Rita, mpio. de Yecuatla",1975.0,1,1,1,,WGS84,2019,M. VAZQUEZ
4409,PRESERVED_SPECIMEN,Stauranthus perforatus,NO DISPONIBLE,GBIF,,Manuel Vargas,,19.157222,-96.948611,"Coscontla, Municipio de Huatusco",1972.0,1,1,1,,WGS84,2019,F. Ventura A.
4410,PRESERVED_SPECIMEN,Stauranthus perforatus,NO DISPONIBLE,GBIF,,Manuel Vargas,,19.157222,-96.948611,"Coscontla, Municipio de Huatusco",1972.0,1,1,1,,WGS84,2019,F. Ventura A.
4411,PRESERVED_SPECIMEN,Stauranthus perforatus,NO DISPONIBLE,GBIF,,Manuel Vargas,,19.880556,-96.764444,Lomas de Santa Rita,1971.0,1,1,1,,WGS84,2019,F. Ventura A.
4412,PRESERVED_SPECIMEN,Stauranthus perforatus,NO DISPONIBLE,GBIF,,Manuel Vargas,,19.358056,-97.12944399999999,entre Carrizal y Cerro Boludo,1985.0,1,1,1,,WGS84,2019,Cházaro; et al.
4413,PRESERVED_SPECIMEN,Stauranthus perforatus,NO DISPONIBLE,GBIF,,Manuel Vargas,,19.805,-96.796944,"Paz de Enríquez, Yecuatla",1970.0,1,1,1,,WGS84,2019,F. Ventura A.
4536,PRESERVED_SPECIMEN,Stauranthus perforatus,00259505,GBIF,,Manuel Vargas,,19.806110999999998,-96.82388900000001,Paz de Enríquez,1970.0,1,1,1,,WGS84,2019,J. Rzedowski
4537,PRESERVED_SPECIMEN,Stauranthus perforatus,00259503,GBIF,,Manuel Vargas,,19.216667,-96.916667,Along small stream 5 mi NE of Huatusco,1976.0,1,1,1,,WGS84,2019,G. L. Webster
4538,PRESERVED_SPECIMEN,Stauranthus perforatus,00259504,GBIF,,Manuel Vargas,,19.113056,-97.013056,Coscontla,1972.0,1,1,1,,WGS84,2019,F. Ventura A.
5119,PRESERVED_SPECIMEN,Stauranthus perforatus,107238,GBIF,,Manuel Vargas,,19.866111,-96.776944,"ARRIBA DE LA CASA DE DON PEDRO CERVANTES, MPIO. YECUATLA, VER.",1981.0,1,1,1,,WGS84,2019,C. Gutiérrez B.
