,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2652,PRESERVED_SPECIMEN,Symplocos striata,101091990,GBIF,Granzow-de la Cerda 4150,Manuel Vargas,,11.9,-83.916667,"Bluefields, Río Kukra, margen sur, Finca La Bodega, bosque primario, UTM: 17P JP 7613",2001.0,1,1,1,,WGS84,2019,Í. Granzow|R. Garth|J.P. Vandermeer
3713,PRESERVED_SPECIMEN,Symplocos striata,598296,GBIF,1193,Manuel Vargas,,10.75,-84.866667,Guatuso.  Asentamiento campesino La Garroba,1987.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
3714,PRESERVED_SPECIMEN,Symplocos striata,598288,GBIF,1159,Manuel Vargas,,10.210833000000001,-84.1125,"Cantón de Barva La Legua, Finca Montreal.  Ridge between headwatersof Río Volcán and Río San Fernando, just above trail to refugio",1992.0,1,1,1,,WGS84,2019,"Boyle, Brad; Boyle, A.; Nelson, H."
3715,PRESERVED_SPECIMEN,Symplocos striata,598295,GBIF,2523,Manuel Vargas,,9.797222,-83.091667,"Cantón de Limón Cerro Muchilla, Fila Matama.  Valle de la Estrella",1989.0,1,1,1,,WGS84,2019,"Herrera, Gerardo; Sanabria, Pastor; Solís, Manuel"
3920,PRESERVED_SPECIMEN,Symplocos striata,1240138,GBIF,1158,Manuel Vargas,,10.7158,-84.1742,Boca Tapada; Finca San Jorge. Ruta al Río San Juan,1996.0,1,1,1,,WGS84,2019,A. Rodríguez González
7331,PRESERVED_SPECIMEN,Symplocos striata,983676,GBIF,Jiménez Madrigal 1739,Manuel Vargas,,10.76,-84.18,"Llanura de San Carlos, Pital Finca Hiloba, 18 km N Boca Tapada",1995.0,1,1,1,,WGS84,2019,Quírico Jiménez|R. Quesada
10009,PRESERVED_SPECIMEN,Symplocos striata,3468702,GBIF,Zamora Villalobos 3923,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station. Placa #8811 creciendo en la arboleda,2006.0,1,1,1,,WGS84,2019,Nelson Zamora
10021,PRESERVED_SPECIMEN,Symplocos striata,3467765,GBIF,Vargas Ramírez 713,Manuel Vargas,,10.431389,-84.00361099999999,"La Selva Biological Station. Arboleda, Placa# 881",2001.0,1,1,1,,WGS84,2019,Orlando Vargas
10023,PRESERVED_SPECIMEN,Symplocos striata,3467616,GBIF,Vargas Ramírez 571,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station. Sendero: SSA 550m.,2000.0,1,1,1,,WGS84,2019,Orlando Vargas
10083,PRESERVED_SPECIMEN,Symplocos striata,3398977,GBIF,Sperry 876,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1979.0,1,1,1,,WGS84,2019,John Sperry
10477,PRESERVED_SPECIMEN,Symplocos striata,3058079,GBIF,Folsom 10090,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,James P. Folsom
10516,PRESERVED_SPECIMEN,Symplocos striata,3025954,GBIF,Sperry 817,Manuel Vargas,,10.431389,-84.00361099999999,"Finca La Selva, Puerto Viejo de Sarapiquí, Loop Trail",1979.0,1,1,1,,WGS84,2019,John Sperry
11520,PRESERVED_SPECIMEN,Symplocos striata,2462909,GBIF,Smith 175,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,Damon A. Smith
