,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
6481,PRESERVED_SPECIMEN,Ternstroemia multiovulata,4868,GBIF,1006,Manuel Vargas,,8.466667,-83.583333,"Parque Nacional Corcovado,  Llorona to Los Planes",1989.0,1,1,1,,WGS84,2019,"Kernan, C.; Phillips, Pamela"
6820,PRESERVED_SPECIMEN,Ternstroemia multiovulata,3295620,GBIF,691,Manuel Vargas,,8.42,-83.33,"Osa, 3 km N de playa Piro, 24 km Sur de Puerto Jiménez.",1989.0,1,1,1,,WGS84,2019,Q. Jiménez Madrigal & B. Jaen
6841,PRESERVED_SPECIMEN,Ternstroemia multiovulata,3322009,GBIF,1335,Manuel Vargas,,9.6917,-84.3708,"Cantón de Puriscal, Z. P. La Cangreja, Cuenca del Río Negro, Mastatal de Puriscal, Ribera Quebrada Grande.",1993.0,1,1,1,,WGS84,2019,Q. Jiménez Madrigal & Collector unknown
6849,PRESERVED_SPECIMEN,Ternstroemia multiovulata,3295621,GBIF,663,Manuel Vargas,,8.42,-83.4,"Osa, 3 km N de Playa Piro, Pueto Jiménez, Finca Asunción Espuivel.",1989.0,1,1,1,,WGS84,2019,"Q. Jiménez Madrigal, E. Vargas & J. J. Jiménez"
6859,PRESERVED_SPECIMEN,Ternstroemia multiovulata,3320214,GBIF,1672,Manuel Vargas,,8.6333,-83.7167,"Reserva Forestal Golfo Dulce, Peninsula de Osa.",1993.0,1,1,1,,WGS84,2019,R. Aguilar
6882,PRESERVED_SPECIMEN,Ternstroemia multiovulata,3295622,GBIF,4080,Manuel Vargas,,8.525,-83.4667,"Parque Nacional Corcovado Cerro Rincón, Dos Brazos de Río Tigre.",1990.0,1,1,1,,WGS84,2019,G. Herrera Ch.
6899,PRESERVED_SPECIMEN,Ternstroemia multiovulata,3448504,GBIF,2102,Manuel Vargas,,9.5444,-84.0417,"Tarrazú, Cerro Diamante.",1999.0,1,1,1,,WGS84,2019,A. Estrada
6904,PRESERVED_SPECIMEN,Ternstroemia multiovulata,3295607,GBIF,4632,Manuel Vargas,,8.5139,-83.45,"Cantón de Golfito Jiménez, Dos Brazos de Río Tigre.  Siguiendo el sendero que desciende hasta la unión de la Quebrada Patemazo con Quebrada Porsillego.",1990.0,1,1,1,,WGS84,2019,G. Herrera Ch.
7372,PRESERVED_SPECIMEN,Ternstroemia multiovulata,981997,GBIF,Morales Quirós 3899,Manuel Vargas,,9.72,-84.39,"Z.P. La Cangreja; Cerros de Puriscal. Cerro Pelón, charrales y bosque primario remanente en la cima del cerro y cerca del antiguo camino a Quepos.",1995.0,1,1,1,,WGS84,2019,J. F. Morales
7608,PRESERVED_SPECIMEN,Ternstroemia multiovulata,903654,GBIF,Herrera Chacón 4632,Manuel Vargas,,8.52,-83.4,"R.F. Golfo Dulce; Península de Osa. Jiménez, Dos Brazos de Río Tigre. Siguiendo el sendero que desciende hasta la unión de la Quebrada Patemazo c",,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
7615,PRESERVED_SPECIMEN,Ternstroemia multiovulata,903291,GBIF,Herrera Chacón 4391,Manuel Vargas,,8.71,-83.53,"R.F. Golfo Dulce; Península de Osa. Rincón. Fila Casa Loma, por el antiguo camino a Rancho Quemado.",1990.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
